words,labels
"['this', 'fatality', 'rate', 'makes', 'skiing', 'and', 'snowboarding', 'more', 'dangerous', 'than', 'bicycling', 'and', 'slightly', 'safer', 'than', 'swimming']","['0', '0', '0', '0', '1', '0', '1', '3', '4', '0', '1', '0', '0', '3', '0', '1']"
"['statistically', 'speaking', 'skiing', 'is', 'generally', 'considered', 'safer', 'than', 'swimming', 'horse', 'riding', 'climbing', 'or', 'playing', 'football']","['0', '0', '1', '0', '0', '0', '3', '0', '1', '1', '2', '1', '0', '0', '1']"
"['to', 'the', 'public', 'ski', 'resorts', 'market', 'skiing', 'and', 'snowboarding', 'as', 'safe', 'safer', 'than', 'cycling', 'or', 'swimming']","['0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '3', '0', '1', '0', '1']"
"['so', 'it', 'is', 'well', 'known', 'that', 'grading', 'at', 'stanford', 'or', 'harvard', 'is', 'easier', 'than', 'grading', 'at', 'mit', 'or', 'caltech']","['0', '0', '0', '0', '0', '0', '3', '0', '1', '0', '1', '0', '3', '0', '3', '0', '1', '0', '1']"
"['it', 'seems', 'like', 'the', 'guys', 'at', 'mit', 'are', 'worse', 'than', 'the', 'guys', 'at', 'harvard', 'because', 'the', 'shuttle', 'runs', 'directly', 'to', 'the', 'frats', 'at', 'mit', 'says', 'jaronczyk']","['0', '0', '0', '0', '3', '0', '1', '0', '3', '0', '0', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0']"
"['at', 'mit', 'we', 'thought', 'we', 'were', 'better', 'than', 'people', 'at', 'harvard', 'because', 'we', 'were', 'smarter', 'and', 'worked', 'harder']","['0', '1', '0', '0', '0', '0', '3', '0', '3', '0', '1', '0', '0', '0', '3', '0', '3', '4']"
"['if', 'you', 'want', 'to', 'say', 'mit', 'kids', 'are', 'smarter', 'than', 'harvard', 'kids', 'well', 'i', 'give', 'that', 'to', 'you']","['0', '0', '0', '0', '0', '1', '3', '0', '3', '0', '1', '3', '0', '0', '0', '0', '0', '0']"
"['i', 'can', 't', 'understand', 'why', 'they', 'd', 'turn', 'down', 'the', 'mit', 'engineer', 'who', 'is', 'probably', 'much', 'smarter', 'then', 'the', 'harvard', 'poetry', 'major']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '3', '0', '0', '0', '0', '3', '0', '0', '1', '3', '4']"
"['bryan', 'says', 'that', 'general', 'opinion', 'on', 'campus', 'favors', 'harvard', 'men', 'as', 'being', 'more', 'normal', 'than', 'the', 'men', 'at', 'the', 'mit', 'shuttle', 'stop']","['0', '0', '0', '0', '0', '0', '0', '0', '1', '3', '0', '0', '3', '4', '0', '0', '3', '0', '0', '1', '0', '0']"
"['it', 'is', 'even', 'harder', 'to', 'get', 'off', 'the', 'waitlist', 'from', 'mit', 'than', 'at', 'harvard', 'or', 'stanford']","['0', '0', '0', '3', '4', '4', '4', '4', '4', '0', '1', '0', '0', '1', '0', '1']"
"['mit', 'announced', 'last', 'week', 'that', 'the', 'size', 'of', 'its', 'endowment', 'fell', 'by', 'roughly', '21', 'percent', 'this', 'past', 'fiscal', 'year', 'substantially', 'better', 'than', 'the', '30', 'percent', 'declines', 'reported', 'by', 'harvard', 'and', 'yale', 'only', 'a', 'few', 'days', 'earlier']","['1', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0']"
"['with', 'debug', 'on', 'and', 'all', 'safety', 'features', 'enabled', 'swift', 'is', 'currently', 'between', '20', '300x', 'times', 'slower', 'than', 'objective', 'c']","['0', '3', '0', '0', '0', '3', '0', '0', '1', '0', '0', '0', '0', '0', '0', '3', '0', '1', '2']"
"['dare', 'i', 'also', 'say', 'that', 'learning', 'objective', 'c', 'may', 'be', 'a', 'tad', 'easier', 'than', 'swift', 'only', 'because', 'objective', 'c', 'does', 'not', 'contain', 'some', 'of', 'the', 'more', 'advanced', 'features', 'as', 'swift', 'such', 'as', 'functional', 'patterns', 'generics', 'and', 'advanced', 'enumeration', 'and', 'collection', 'features']","['0', '0', '0', '0', '0', '3', '1', '2', '0', '0', '0', '0', '3', '0', '1', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '3', '4', '3', '0', '3', '4', '0', '3', '4']"
"['swift', 'is', 'ultimately', 'a', 'bigger', 'language', 'than', 'objective', 'c', 'with', 'features', 'like', 'advanced', 'enums', 'generics', 'templates', 'tuples', 'operator', 'overloading', 'etc']","['1', '0', '0', '0', '3', '0', '0', '1', '2', '0', '0', '0', '3', '4', '3', '3', '3', '3', '4', '0']"
"['you', 'll', 'pick', 'up', 'swift', 'language', 'features', 'and', 'syntax', 'along', 'the', 'way', 'and', 'understand', 'why', 'using', 'swift', 'instead', 'of', 'objective', 'c', 'makes', 'ios', 'and', 'mac', 'app', 'development', 'easier', 'faster', 'and', 'safer']","['0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1', '2', '0', '0', '0', '0', '3', '4', '3', '3', '0', '3']"
"['swift', 'is', 'designed', 'for', 'cocoa', 'and', 'cocoa', 'touch', 'and', 'is', 'meant', 'to', 'be', 'easier', 'faster', 'and', 'safer', 'than', 'objective', 'c']","['1', '0', '0', '0', '3', '0', '3', '4', '0', '0', '0', '0', '0', '3', '3', '0', '3', '0', '1', '2']"
"['apple', 's', 'swift', 'programming', 'language', 'faster', 'safer', 'than', 'objective', 'c']","['0', '0', '1', '0', '0', '3', '3', '0', '1', '2']"
"['i', 'love', 'the', 'swift', 'because', 'it', 's', 'safer', 'and', 'easier', 'than', 'objective', 'c']","['0', '0', '0', '1', '0', '0', '0', '3', '0', '3', '0', '1', '2']"
"['swift', 'is', 'intended', 'to', 'be', 'more', 'resilient', 'to', 'erroneous', 'code', 'safer', 'than', 'objective', 'c', 'and', 'also', 'more', 'concise']","['1', '0', '0', '0', '0', '3', '4', '0', '0', '0', '3', '0', '1', '2', '0', '0', '3', '4']"
"['i', 've', 'touched', 'on', 'just', 'a', 'couple', 'of', 'swift', 's', 'myriad', 'safety', 'features', 'and', 'it', 'is', 'clear', 'that', 'swift', 'will', 'produce', 'safer', 'code', 'than', 'is', 'typical', 'of', 'c', 'and', 'objective', 'c']","['0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '3', '0', '0', '0', '0', '0', '0', '1', '0', '0', '3', '0', '0', '0', '0', '0', '1', '0', '1', '2']"
"['xcode', 'will', 'add', 'the', 'swift', 'programming', 'language', 'which', 'apple', 'says', 'is', 'much', 'faster', 'than', 'objective', 'c', 'presenters', 'cited', 'many', 'modern', 'features', 'including', 'generics', 'namespaces', 'and', 'type', 'inference']","['0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '3', '0', '1', '2', '0', '0', '0', '0', '0', '0', '3', '3', '0', '3', '4']"
"['another', 'advancement', 'is', 'the', 'introduction', 'of', 'swift', 'a', 'much', 'simpler', 'easier', 'to', 'use', 'and', 'faster', 'programming', 'language', 'than', 'objective', 'c', 'which', 'apple', 'had', 'been', 'relying', 'on', 'for', 'years']","['0', '0', '0', '0', '0', '0', '1', '0', '0', '3', '3', '4', '4', '0', '3', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0']"
"['called', 'swift', 'it', 's', 'meant', 'to', 'offer', 'a', 'faster', 'easier', 'way', 'to', 'build', 'software', 'for', 'apple', 's', 'products', 'than', 'its', 'existing', 'programming', 'language', 'objective', 'c']","['0', '1', '0', '0', '0', '0', '0', '0', '3', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2']"
"['i', 've', 'never', 'written', 'anything', 'in', 'the', 'ios', 'ecosystem', 'so', 'i', 'spent', 'about', 'a', 'week', 'to', 'research', 'before', 'digging', 'in', 'the', 'transition', 'was', 'smooth', 'primarily', 'because', 'i', 'm', 'using', 'swift', 'a', 'much', 'more', 'succinct', 'and', 'modern', 'language', 'than', 'objective', 'c', 'and', 'my', 'somewhat', 'dated', 'android', 'experience', 'and', 'very', 'dated', 'windows', 'dev', 'experience', 'provided', 'me', 'with', 'all', 'of', 'the', 'patterns', 'i', 'needed', 'to', 'understand', 'ios']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '3', '4', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['although', 'swift', 'is', 'easier', 'to', 'use', 'we', 're', 'sure', 'that', 'there', 'will', 'be', 'issues', 'like', 'crashes', 'slow', 'request', 'errors', 'and', 'so', 'on', 'as', 'we', 'already', 'know', 'it', 'from', 'objective', 'c', 'and', 'other', 'languages']","['0', '1', '0', '3', '4', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0']"
"['in', 'other', 'words', 'ios', 'and', 'os', 'x', 'apps', 'built', 'with', 'swift', 'should', 'run', 'even', 'smoother', 'and', 'faster', 'than', 'counterparts', 'made', 'with', 'the', 'tried', 'and', 'true', 'objective', 'c']","['0', '0', '0', '0', '0', '3', '4', '4', '0', '0', '1', '0', '0', '0', '3', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2']"
"['even', 'if', 'you', 'don', 't', 'know', 'what', 'those', 'terms', 'mean', 'it', 's', 'easy', 'to', 'pick', 'up', 'that', 'apps', 'ios', 'and', 'os', 'x', 'developers', 'build', 'with', 'swift', 'should', 'run', 'even', 'smoother', 'and', 'faster', 'than', 'counterparts', 'made', 'with', 'the', 'objective', 'c', 'language', 'they', 've', 'been', 'using']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '3', '0', '3', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0']"
"['swift', 'does', 'appear', 'simpler', 'than', 'objective', 'c']","['1', '0', '0', '3', '0', '1', '2']"
"['swift', 's', 'operator', 'precedences', 'and', 'associativity', 'rules', 'are', 'simpler', 'and', 'more', 'predictable', 'than', 'those', 'found', 'in', 'c', 'and', 'objective', 'c']","['1', '0', '3', '4', '0', '3', '4', '0', '3', '0', '3', '4', '0', '0', '0', '0', '0', '0', '1', '2']"
"['swift', 'is', 'simpler', 'than', 'objective', 'c', 'and', 'allows', 'users', 'to', 'see', 'their', 'code', 'in', 'action', 'as', 'they', 'write', 'it', 'on', 'their', 'computer', 'screens', 'rather', 'than', 'running', 'it', 'through', 'a', 'compiler', 'before', 'checking', 'it', 'out']","['1', '0', '3', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['swift', 'is', 'marginally', 'easier', 'to', 'read', 'than', 'objective', 'c', 'sure']","['1', '0', '0', '3', '4', '4', '0', '1', '2', '0']"
"['trees', 'from', 'lower', 'michigan', 'and', 'wisconsin', 'have', 'grown', 'faster', 'and', 'trees', 'from', 'iowa', 'virginia', 'and', 'west', 'virginia', 'have', 'grown', 'slower', 'than', 'would', 'have', 'been', 'expected', 'from', 'the', 'latitude', 'of', 'their', 'provenance']","['3', '0', '0', '1', '0', '1', '0', '3', '4', '0', '3', '0', '1', '1', '0', '1', '2', '0', '3', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['from', '2012', 'the', 'year', 'michigan', 'passed', 'right', 'to', 'work', 'until', 'mid', '2015', 'incomes', 'in', 'michigan', 'rose', 'over', 'nine', 'percent', 'faster', 'than', 'west', 'virginia', 'and', 'the', 'national', 'average', 'vernuccio', 'and', 'hart', 'wrote']","['0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '3', '0', '1', '3', '0', '0', '0', '3', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0']"
"['the', 'michigan', 'men', 's', 'rowing', 'team', 'finished', 'faster', 'than', 'top', 'seed', 'virginia', 'but', 'not', 'fast', 'enough', 'for', 'first', 'place', 'in', 'the', 'collegiate', 'men', 's', 'eights', 'race', 'at', 'the', 'head', 'of', 'the', 'charles', 'regatta', 'in', 'cambridge', 'mass']","['0', '1', '0', '0', '3', '4', '0', '3', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['the', 'average', 'professional', 'salary', 'at', 'the', 'university', 'of', 'michigan', '35', 'th', 'in', 'the', 'arl', 'survey', 'is', 'nearly', '4', '000', 'greater', 'than', 'at', 'unc', 'ch', 'and', 'at', 'the', 'university', 'of', 'virginia', '25', 'th', 'in', 'the', 'survey', 'the', 'difference', 'rises', 'to', 'nearly', '6', '000']","['0', '0', '0', '3', '0', '0', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['cmon', 'people', 'this', 'is', 'michigan', 'its', 'a', 'lot', 'easier', 'to', 'recruit', 'top', 'players', 'here', 'than', 'in', 'west', 'virginia']","['0', '0', '0', '0', '1', '0', '0', '0', '3', '4', '4', '4', '4', '0', '0', '0', '1', '2']"
"['i', 'never', 'him', 'being', 'a', 'great', 'recruiter', 'at', 'wvu', 'but', 'i', 'm', 'sure', 'it', 'is', 'infinitely', 'easier', 'to', 'recruit', 'to', 'michigan', 'rather', 'than', 'west', 'virginia']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '4', '4', '0', '1', '0', '0', '1', '2']"
"['at', 'west', 'virginia', 'we', 'had', 'better', 'facilities', 'than', 'they', 'had', 'at', 'michigan', 'patrick', 'beilein', 'recalls']","['0', '0', '1', '0', '0', '3', '1', '0', '0', '0', '0', '1', '0', '0', '0']"
"['since', '2000', 'west', 'virginia', 's', 'population', 'is', 'up', 'by', '2', '6', 'percent', 'modest', 'growth', 'but', 'better', 'than', 'states', 'like', 'michigan', 'and', 'rhode', 'island']","['0', '0', '1', '2', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '1', '0', '1', '2']"
"['places', 'like', 'california', 'have', 'higher', 'utility', 'rates', 'than', 'you', 'might', 'have', 'in', 'the', 'state', 'of', 'michigan']","['0', '0', '1', '0', '3', '3', '4', '0', '0', '0', '0', '0', '0', '0', '0', '1']"
"['although', 'the', 'resurgent', 'domestic', 'auto', 'industry', 'is', 'helping', 'michigan', 'add', 'jobs', 'faster', 'than', 'many', 'other', 'states', 'it', 's', 'tied', 'with', 'mississippi', 'for', 'the', 'state', 's', 'third', 'highest', 'jobless', 'rate', 'at', '10', '6', 'percent', 'behind', 'only', 'nevada', 'and', 'california']","['0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '3', '4', '0', '0', '0', '0', '0', '0', '1', '0', '1']"
"['only', 'california', 'is', 'projected', 'to', 'lose', 'more', 'graduates', 'than', 'michigan', 'and', 'only', 'vermont', 'will', 'shrink', 'faster']","['0', '1', '0', '0', '0', '3', '4', '3', '0', '1', '0', '0', '1', '0', '3', '4']"
"['they', 'mined', 'a', 'lot', 'of', 'gold', 'in', 'california', 'but', 'the', 'us', 'economy', 'was', 'growing', 'faster', 'for', 'instance', 'more', 'value', 'was', 'harvested', 'from', 'the', 'timber', 'in', 'michigan', 'than', 'was', 'mined', 'from', 'ca']","['0', '0', '0', '0', '0', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '4', '0', '0', '0', '0', '3', '0', '1', '0', '0', '0', '0', '0']"
"['i', 'must', 'say', 'that', 'driving', 'in', 'california', 'weather', 'is', 'way', 'easier', 'than', 'driving', 'in', 'the', 'monsoon', 'i', 'experienced', 'there', 'in', 'michigan', 'but', 'the', 'drivers', 'out', 'here', 'make', 'michigan', 'drivers', 'look', 'like', 'a', 'state', 'full', 'of', 'nervous', 'high', 'schoolers', 'on', 'their', 'final', 'driving', 'exam']","['0', '0', '0', '0', '3', '0', '1', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['michigan', 'is', 'better', 'chicago', 'ohio', 'california', 'the', 'non', 'connecticut', 'new', 'england', 'states', 'canada', 'all', 'much', 'better', 'than', 'north', 'carolina']","['1', '0', '3', '1', '1', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '2']"
"['actually', 'michigan', 'is', 'a', 'better', 'state', 'for', 'wind', 'than', 'california', 'but', 'people', 'don', 't', 'realize', 'that', 'he', 'said']","['0', '1', '0', '0', '3', '0', '0', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0']"
"['in', 'fact', 'all', 'of', 'michigan', 'that', 'i', 've', 'seen', 'thus', 'far', 'has', 'a', 'greater', 'passion', 'for', 'artists', 'and', 'music', 'than', 'the', 'entire', 'state', 'of', 'california', 'where', 'i', 'm', 'from']","['0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '3', '3', '4', '4', '4', '4', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0']"
"['he', 'added', 'that', 'california', 'has', 'suffered', 'worse', 'than', 'almost', 'all', 'the', 'states', 'with', 'only', 'nevada', '13', '5', 'and', 'michigan', '13', '2', 'suffering', 'higher', 'unemployment', 'rates', 'as', 'measured', 'by', 'u', '3']","['0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '0', '0', '3', '3', '4', '0', '0', '0', '0', '0']"
"['my', 'michigan', 'friend', 'is', 'on', 'her', 'way', 'here', 'to', 'sunny', 'but', 'cooler', 'california', 'for', 'a', 'visit']","['0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '1', '0', '0', '0']"
"['if', 'you', 'go', 'onto', 'google', 'trends', 'type', 'in', 'marijuana', 'then', 'limit', 'your', 'results', 'to', 'the', 'united', 'states', 'you', 'll', 'see', 'michigan', 'is', 'hotter', 'than', 'california', 'even', 'washington', 'and', 'only', 'behind', 'colorado', 'in', 'google', 'searches']","['0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '3', '0', '1', '0', '1', '0', '0', '3', '1', '0', '0', '0']"
"['despite', 'lower', 'unemployment', 'california', 'has', 'a', 'higher', 'foreclosure', 'rate', 'than', 'michigan']","['0', '3', '3', '1', '0', '0', '3', '3', '4', '0', '1']"
"['the', 'unemployment', 'rate', 'is', 'higher', 'in', 'california', 'and', 'illinois', 'than', 'in', 'michigan']","['0', '3', '4', '0', '3', '0', '1', '0', '1', '0', '0', '1']"
"['michigan', 'pays', 'more', 'to', 'borrow', 'than', 'california', 'even', 'with', 'an', 's', 'p', 'rating', 'two', 'levels', 'higher']","['1', '3', '4', '4', '4', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['according', 'to', 'russell', 'the', 'key', 'reason', 'why', 'michigan', 'is', 'in', 'better', 'restructuring', 'shape', 'than', 'california', 'is', 'that', 'state', 'lawmakers', 'phased', 'in', 'deregulation', 'while', 'their', 'counterparts', 'on', 'the', 'west', 'coast', 'didn', 't']","['0', '0', '0', '0', '0', '0', '0', '1', '0', '3', '4', '4', '4', '0', '1', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
"['grand', 'rapids', 'even', 'though', 'electricity', 'generating', 'reserves', 'in', 'michigan', 'have', 'declined', 'steadily', 'for', 'some', 'time', 'restructuring', 'of', 'michigan', 's', 'electricity', 'production', 'industry', 'seemed', 'to', 'take', 'a', 'much', 'more', 'optimistic', 'turn', 'during', 'year', '2000', 'than', 'in', 'california']","['0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '3', '4', '4', '0', '0', '0', '0', '0', '3', '4', '0', '0', '0', '0', '0', '0', '1']"
"['fortunately', 'michigan', 'is', 'in', 'better', 'shape', 'than', 'california']","['0', '1', '0', '3', '4', '4', '0', '1']"
"['georgia', 'michigan', 'illinois', 'and', 'ohio', 'are', 'now', 'in', 'worse', 'shape', 'than', 'california']","['0', '1', '1', '0', '1', '0', '0', '3', '4', '4', '0', '1']"
"['california', 'where', 'bankruptcy', 'isn', 't', 'out', 'of', 'the', 'question', 'and', 'the', 'state', 'is', 'issuing', 'iou', 's', 'is', 'in', 'even', 'worse', 'financial', 'shape', 'than', 'michigan', 'yet', 'they', 'are', '6th', 'on', 'this', 'list', 'and', 'california', 'isn', 't', 'on', 'it', 'at', 'all']","['1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '3', '4', '4', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']"
"['spoiler', 'it', 's', 'because', 'his', 'chances', 'of', 'winning', 'colorado', 'virginia', 'new', 'hampshire', 'iowa', 'and', 'ohio', 'combined', 'he', 'needs', 'them', 'all', 'are', 'worse', 'than', 'his', 'chances', 'of', 'winning', 'pennsylvania']","['0', '0', '0', '0', '0', '3', '4', '4', '1', '1', '1', '2', '1', '0', '1', '0', '0', '0', '0', '0', '0', '3', '0', '0', '3', '4', '4', '1']"
