question,labels
[CLS] why is the length of a lunar day different from the length of a solar day[SEP],"['O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'B-PRED', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is the best lms for pharma[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who will be the winner of the sankranti in 2017[SEP],"['O', 'O', 'O', 'O', 'B-PRED', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are some of the most beautiful natural phenomena[SEP],"['O', 'O', 'B-PRED', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ']"
[CLS] who has the most record sales of all time[SEP],"['B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what s the kindest thing a stranger has done for you[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who are some of the most influential iitians students alumni[SEP],"['O', 'O', 'B-PRED', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who has the record for most superbowl rings[SEP],"['B-OBJ', 'O', 'O', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP']"
[CLS] what is the basic difference between inductor and coil[SEP],"['O', 'O', 'O', 'B-PRED', 'I-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ']"
[CLS] which is osho s best quote[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'B-OBJ']"
[CLS] what is the best way to decide my career[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who invented the first radio and what year[SEP],"['B-OBJ', 'B-ASP', 'O', 'B-PRED', 'B-ASP', 'O', 'O', 'O']"
[CLS] what is the fastest way of treating sciatic problems[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what s the record for most points scored in nba game[SEP],"['O', 'O', 'O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] how is a tf card different from an sd card[SEP],"['O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'O', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] where can i get best quality pest control service in australia[SEP],"['O', 'O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are good business books to read[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'O', 'B-ASP']"
[CLS] how good are the best neuroscience programs in india are they comparable with worldwide top universities[SEP],"['O', 'O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'B-PRED', 'I-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the main reasons why students from the university of nebraska at omaha don t graduate on time[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-ASP', 'I-ASP']"
[CLS] what are the most rushing yards in a game by a player[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] how many types of linux filesystem are there e g ext3 ext4 what is the best one[SEP],"['O', 'O', 'O', 'O', 'O', 'I-OBJ', 'O', 'O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'O', 'O', 'O', 'B-PRED', 'O']"
[CLS] in what aspects is kolkata calcutta a better city than ahmedabad[SEP],"['O', 'O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-PRED', 'O', 'O', 'B-OBJ']"
[CLS] which book is first the davinci code or angels and demons[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] when is the best time of year to grow beans[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-ASP', 'I-ASP']"
[CLS] what movie holds the record for most money made in an opening weekend[SEP],"['O', 'B-OBJ', 'O', 'O', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the best way to control our emotions[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the different between chinese and western diet culture[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which bike is preferred in bangalore fz v 2 or pulsar 200ns[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] where can i get the best quality photo booth service in australia[SEP],"['O', 'O', 'O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are some good analogies for understanding different sorting algorithms[SEP],"['O', 'O', 'B-PRED', 'I-PRED', 'B-OBJ', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the highest price paid for a comic book[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the highest score in a soccer world cup final[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] why was immigration through angel island more difficult than immigration through ellis island[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'B-PRED', 'B-ASP', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which two states in india has most beautiful women and why[SEP],"['O', 'B-OBJ', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'O', 'O']"
[CLS] is cuba health care better[SEP],"['O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'B-PRED']"
[CLS] which is the best honeymoon destination in asia apart from india[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what brand is better tampax or playtex[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'O', 'B-OBJ']"
[CLS] who has the fastest time in the nfl combine[SEP],"['B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] why boy like aunties more than girls[SEP],"['O', 'B-ASP', 'I-ASP', 'B-OBJ', 'B-PRED', 'O', 'B-OBJ']"
[CLS] what are the downsides of attending cole normale sup rieure[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who holds the highest rank in the executive office of the president[SEP],"['B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-OBJ']"
[CLS] what photograph can be considered the rarest in the world[SEP],"['O', 'B-OBJ', 'O', 'O', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the biggest worry in your life why[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O']"
[CLS] who was most responsible for the second part of cell theory that cells come from previous cells[SEP],"['B-OBJ', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] which are the best mba colleges in gwalior[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best site to sell my porn videos[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are some common examples of non vascular plants and how do they compare and contrast to vascular plants[SEP],"['O', 'O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'O', 'O', 'B-PRED', 'I-PRED', 'I-PRED', 'O', 'O', 'I-OBJ']"
[CLS] which is the best lic policy[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ']"
[CLS] which is better bollywood or kollywood[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'O', 'B-OBJ']"
[CLS] who has most followers on quora right now[SEP],"['B-OBJ', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is best grass for cattle[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'B-ASP']"
[CLS] who is oldest female tennis player to win a major[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is a good mixer for southern comfort[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between mince and dice[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ']"
[CLS] what are some good ways to lose weight[SEP],"['O', 'O', 'B-PRED', 'I-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between zamindari ryotwari and mahalwari system[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] who has the most all ireland hurling titles[SEP],"['B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] which is the best search engine[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ']"
[CLS] who is going to win the 2016 us presidential election why[SEP],"['B-OBJ', 'O', 'O', 'O', 'B-PRED', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'O']"
[CLS] who was the best player in 2010 world cup[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the most common vitamin supplement used in the us[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the largest national park in australia[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is longest river in indiana[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what s the easiest way to kill yourself without pain[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best institute for cat preparation in delhi[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] when is the the right time to have sex[SEP],"['B-OBJ', 'O', 'O', 'O', 'B-PRED', 'B-OBJ', 'O', 'B-ASP', 'I-ASP']"
[CLS] who holds the record for most rushing yards in a game[SEP],"['B-OBJ', 'O', 'O', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] is zoe a good name[SEP],"['O', 'B-OBJ', 'O', 'B-PRED', 'O']"
[CLS] what are the best lines to begin a diary entry[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which are the best hollywood movies of all time[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the four most recent movies directed by clint eastwood to have hit the big screen[SEP],"['O', 'O', 'O', 'B-PRED', 'I-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] which legislature is the lower chamber to the senate[SEP],"['O', 'B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'O', 'I-ASP', 'I-ASP']"
[CLS] which is the most affordable hosting provider for drupal[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between an equivalency credit and a course challenge[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'O', 'B-OBJ', 'I-OBJ', 'O', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] what is the difference between sleep and hibernate[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ']"
[CLS] what s the difference between 1080i and 1080p[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ']"
[CLS] what are the different types of combustion engines[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which of the three west african kingdoms was the largest[SEP],"['O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'B-PRED']"
[CLS] who became athens leading philosopher during its golden age[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'O', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] why is cardiac muscle different from smooth and skeletal muscle[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the difference between physical and chemical changes how can each be identified[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'O', 'O', 'O', 'O', 'O']"
[CLS] how hard is it to learn russian compared to japanese[SEP],"['O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'B-OBJ', 'B-PRED', 'I-PRED', 'B-OBJ']"
[CLS] what is the best way to get rid of blackheads patch on face[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the kindest thing you have ever done for a stranger[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the best tech conferences in europe for students[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-ASP']"
[CLS] should i use squarespace or wordpress[SEP],"['O', 'O', 'O', 'B-OBJ', 'O', 'B-OBJ']"
[CLS] what are the 2 best lines of poetry or shayari[SEP],"['O', 'O', 'O', 'B-PRED', 'I-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is best online shopping website to buy home appliances[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the property tax rate in granville ohio how is it compared to the one of alaska[SEP],"['O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'O', 'B-PRED', 'I-PRED', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are some of the best sales conversations[SEP],"['O', 'O', 'B-PRED', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ']"
[CLS] which is the best food for kids[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] how does gestalt theory differ from functionalism[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'O', 'B-OBJ']"
[CLS] who was the first player in bb history to return to the game after being evicted[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the best way and time to take iron tablets[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between a processor and a developer[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'O', 'B-OBJ', 'O', 'O', 'B-OBJ']"
[CLS] what is the best competitor for quora[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] from existing diet now days what diet gives the best result to lose weight[SEP],"['O', 'O', 'O', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the most popular language in america[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which us state has the highest sales tax[SEP],"['O', 'B-OBJ', 'I-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP']"
[CLS] what is the difference between led and dled tv[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] what s a better car a camry or an accord[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'O', 'B-OBJ', 'O', 'O', 'B-OBJ']"
[CLS] what is the difference between a semicolon and a comma[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'O', 'B-OBJ', 'O', 'O', 'B-OBJ']"
[CLS] what are the differences between chmod a x vs u x[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] what are some good inspirational movies[SEP],"['O', 'O', 'B-PRED', 'I-PRED', 'B-OBJ', 'I-OBJ']"
[CLS] who was the first african american elected to the united states senate[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-ASP', 'I-ASP']"
[CLS] is it better to be a famous rich person or an anonymous rich person[SEP],"['O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best way to debug shell script[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between half rate and full rate in gsm[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] where is the biggest waterfall in the united states[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best watching zone in an imax screen set in the theatre[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best way and right age to introduce chess to a child[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between single cut and double cut files[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are some of the most interesting portmanteaus you have heard[SEP],"['O', 'O', 'B-PRED', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is difference between profitability and financial stability of commercial bank[SEP],"['O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is your favorite song from 1980s[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the best areas to invest in real estate in minneapolis[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'O', 'B-ASP', 'I-ASP', 'I-OBJ', 'I-ASP', 'I-OBJ', 'I-OBJ']"
[CLS] what is the most painful thing after breakup[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between phonegap cordova and ionic[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ']"
[CLS] who has sung most number of songs in india[SEP],"['B-OBJ', 'O', 'B-ASP', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what are good ways to keep lizards out of your house[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who has the most aces in women s tennis[SEP],"['B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the sahara and how do the average temperatures there compare to the ones in the simpson desert[SEP],"['O', 'O', 'O', 'B-OBJ', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'B-PRED', 'O', 'O', 'O', 'O', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] what is the best compliment you ve ever got[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between form follows function and function follows form[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] is raising children in manhattan as opposed to the suburbs a good idea[SEP],"['O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-PRED', 'I-PRED', 'O', 'B-OBJ', 'O', 'B-PRED', 'O']"
[CLS] which one is better an iit or an iisc[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'O', 'B-OBJ']"
[CLS] where is the deepest part of lake geneva[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is the best eye glasses lens for single vision spherical among crizal zeiss and swisscoatt[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ']"
[CLS] why is platinum costlier than gold[SEP],"['O', 'O', 'B-OBJ', 'B-PRED', 'O', 'B-OBJ']"
[CLS] which career is the best for me according to my birth chart and d10 chart[SEP],"['O', 'B-OBJ', 'O', 'O', 'B-PRED', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] who holds the record for most consecutive wins in the nba[SEP],"['B-OBJ', 'O', 'O', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] should i take a web development course or just learn it all by myself[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
