words,labels
"[from 2012 , the year michigan passed right - to - work , until mid - 2015 , incomes in michigan rose over nine percent faster than west virginia and the national average , vernuccio and hart wrote .]",[O O O O O B-Object O O O O O O O O O O O O B-Aspect O B-Object B-Predicate O O O B-Predicate O O B-Object O O O O O O O O O O]
"[the michigan men ' s rowing team finished faster than top - seed virginia , but not fast enough for first place in the collegiate men ' s eights race at the head of the charles regatta in cambridge , mass .]",[O B-Object O O O B-Aspect I-Aspect O B-Predicate O O O O B-Object O O O O O O O O O O O O O O O O O O O O O O O O O O O O]
"[the average professional salary at the university of michigan ( 35 th in the arl survey ) is nearly $ 4 , 000 greater than at unc - ch , and at the university of virginia ( 25 th in the survey ) the difference rises to nearly $ 6 , 000 .]",[O O O B-Aspect O O B-Aspect O B-Object O O O O O O O O O O O O O O B-Predicate O O O O O O O O O B-Aspect O B-Object O O O O O O O O O O O O O O O O O]
[cmon people this is michigan its a lot easier to recruit top players here than in west virginia .],[O O O O B-Object O O O B-Predicate I-Predicate I-Predicate I-Predicate I-Predicate O O O B-Object I-Object O]
[i never him being a great recruiter at wvu -- but i ' m sure it is infinitely easier to recruit to michigan rather than west virginia .],[O O O O O O O O O O O O O O O O O O B-Predicate I-Predicate I-Predicate O B-Object O O B-Object I-Object O]
"[at west virginia we had better facilities than they had at michigan , patrick beilein recalls .]",[O O B-Object O O B-Predicate B-Object O O O O B-Object O O O O O]
"[since 2000 , west virginia ' s population is up by 2 . 6 percent - modest growth , but better than states like michigan and rhode island .]",[O O O B-Object I-Object O O B-Aspect O O O O O O O O O O O O B-Predicate O O O B-Object O B-Object I-Object O]
"[places like california have higher utility rates than you might have in the state of michigan .""]",[O O B-Object O B-Predicate B-Aspect I-Aspect O O O O O O O O B-Object O]
"[although the resurgent domestic auto industry is helping michigan add jobs faster than many other states , it ' s tied with mississippi for the state ' s third - highest jobless rate at 10 . 6 percent , behind only nevada and california .]",[O O O O O O O O B-Object O O O O O O O O O O O O O B-Object O O O O O O O O B-Aspect I-Aspect O O O O O O O O B-Object O B-Object O]
"[only california is projected to lose more graduates than michigan , and only vermont will shrink faster .]",[O B-Object O O O B-Predicate I-Predicate B-Aspect O B-Object O O O B-Object O B-Predicate I-Predicate O]
"[they mined a lot of gold in california , but the us economy was growing faster -- for instance , more value was harvested from the timber in michigan than was mined from ca .]",[O O O O O B-Aspect O B-Object O O O O O O O O O O O O B-Predicate I-Predicate O O O O B-Aspect O B-Object O O O O O O]
"[i must say that driving in california weather is way easier than driving in the monsoon i experienced there in michigan , but the drivers out here make michigan drivers look like a state full of nervous high schoolers on their final driving exam !]",[O O O O B-Aspect O B-Object O O O B-Predicate O O O O O O O O O B-Object O O O O O O O B-Object O O O O O O O O O O O O O O O O]
"[michigan is better , chicago , ohio , california , the non - connecticut new england states , canada - all much better than north carolina .]",[B-Object O B-Predicate O B-Object O B-Object O B-Object O O O O O O O O O B-Object O O O O O B-Object I-Object O]
"[actually , michigan is a better state for wind than california , but people don ' t realize that , he said .]",[O O B-Object O O B-Predicate O O B-Aspect O B-Object O O O O O O O O O O O O]
[in fact all of michigan that i ' ve seen thus far has a greater passion for artists and music than the entire state of california where i ' m from .],[O O O O B-Object O O O O O O O O O B-Predicate B-Aspect I-Aspect I-Aspect I-Aspect I-Aspect O O O O O B-Object O O O O O O]
"[he added that california has suffered worse than almost all the states , with only nevada ( 13 . 5 ) and michigan ( 13 . 2 ) suffering higher unemployment rates , as measured by u - 3 .]",[O O O B-Object O O O O O O O O O O O B-Object O O O O O O B-Object O O O O O O B-Predicate B-Aspect I-Aspect O O O O O O O O]
[my michigan friend is on her way here to sunny but cooler california for a visit .],[O B-Object O O O O O O O O O B-Predicate B-Object O O O O]
"[if you go onto google trends , type in "" marijuana ,"" then limit your results to the united states , you ' ll see michigan is hotter than california , even washington , and only behind colorado in google searches .]",[O O O O O O O O O O B-Aspect O O O O O O O O O O O O O O B-Object O B-Predicate O B-Object O O B-Object O O O B-Predicate B-Object O O O O]
"[despite lower unemployment , california has a higher foreclosure rate than michigan .]",[O B-Predicate B-Aspect O B-Object O O B-Predicate B-Aspect I-Aspect O B-Object O]
[the unemployment rate is higher in california and illinois than in michigan .],[O B-Aspect I-Aspect O B-Predicate O B-Object O B-Object O O B-Object O]
"[michigan pays more to borrow than california , even with an s & p rating two levels higher .]",[B-Object B-Predicate I-Predicate I-Predicate I-Predicate O B-Object O O O O O O O O O O O O]
"[according to russell , the key reason why michigan is in better restructuring shape than california is that state lawmakers phased in deregulation while their counterparts on the west coast didn ' t .]",[O O O O O O O O B-Object O B-Predicate I-Predicate I-Predicate I-Predicate O B-Object O O O O O O B-Aspect O O O O O O O O O O O]
"[grand rapids - even though electricity - generating reserves in michigan have declined steadily for some time , restructuring of michigan ' s electricity production industry seemed to take a much more optimistic turn during year 2000 than in california .]",[O O O O O O O O O O B-Object O O O O O O O O O B-Object O O B-Aspect I-Aspect I-Aspect O O O O O B-Predicate I-Predicate O O O O O O B-Object O]
"[fortunately , michigan is in better shape than california .]",[O O B-Object O B-Predicate I-Predicate I-Predicate O B-Object O]
"[georgia , michigan , illinois and ohio are now in worse shape than california .]",[O O B-Object O B-Object O B-Object O O B-Predicate I-Predicate I-Predicate O B-Object O]
"[california ( where bankruptcy isn ' t out of the question and the state is issuing iou ' s ) is in even worse financial shape than michigan , yet they are 6th on this list and california isn ' t on it at all .]",[B-Object O O O O O O O O O O O O O O O O O O O O B-Predicate O B-Predicate I-Predicate I-Predicate O B-Object O O O O O O O O O B-Object O O O O O O O O]
"[spoiler : it ' s because his chances of winning colorado , virginia , new hampshire , iowa , and ohio combined ( he needs them all ) are worse than his chances of winning pennsylvania .]",[O O O O O O O B-Aspect I-Aspect I-Aspect B-Object O B-Object O B-Object I-Object O B-Object O O B-Object O O O O O O O O B-Predicate O O B-Aspect I-Aspect I-Aspect B-Object O]
"[it also attracts both capital and labor , helping to propel the economy , mcginnis said , citing a bigger increase in jobs in right to work virginia than in pennsylvania in recent years .]",[O O O O O O O O O O O O O O O O O O O B-Predicate B-Aspect I-Aspect I-Aspect O O O O B-Object O O B-Object O O O O]
"[pennsylvania ranks better than west virginia , maryland , ohio , new jersey and new york for business tax climate .]",[B-Object O B-Predicate O B-Object I-Object O B-Object O B-Object O B-Object I-Object O B-Object I-Object O B-Aspect I-Aspect O O]
"[up to 2 feet of snow should fall on west virginia , with lighter snow in parts of ohio and pennsylvania , regardless of where sandy first hits .]",[O O O O O O O O O B-Object I-Object O O B-Predicate B-Aspect O O O B-Object O B-Object O O O O O O O O]
"[for ten years preceding 1770 , the average value of the exports of maryland and virginia was more than one - third greater than that of the united exports of new england , new york , and pennsylvania .]",[O O O O O O O O O O O B-Aspect O B-Object O B-Object O O O O O O B-Predicate O O O O O O O B-Object I-Object O B-Object I-Object O O B-Object O]
"[but not only is virginia the smallest proportionate debtor in the union , and her proper balance relatively as well as really greater than that of pennsylvania , but it will also be found considerably to exceed even that of massachusetts .]",[O O O O B-Object O O O O O O O O O O O B-Aspect O O O O O B-Predicate O O O B-Object O O O O O O O O O B-Predicate O O O B-Object O]
"[plus , the espn networks have a greater reach in this country than fox soccer channel .]",[O O O B-Object O O O B-Predicate B-Aspect O O O O B-Object O O O]
"[espn has greater professionalism than speed / fox and takes the sport very seriously where with fox / speed the coverage is jokes , light , feel good moments with dw , roberts , wendy etc . .]",[B-Object O B-Predicate B-Aspect O B-Object O B-Object O O O O O O O O B-Object O B-Object O B-Aspect O O O O O O O O O O O O O O O O O]
[even reruns of espn fc ' s show that are televised in the early morning hours are generating a greater average viewing audience than the best episode of fox soccer daily thus far .],[O O O B-Object O O O O O O O O O O O O O O O B-Predicate O O B-Aspect O O O O O B-Object O O O O O]
"[espn is far superior to fox , if only because of all the talent , resources and access a company like espn can get .]",[B-Object O O B-Predicate O B-Object O O O O O O O B-Aspect O B-Aspect O B-Aspect O O O B-Object O O O]
[your overall premise is correct ... not just for the talent but the overall production of these games on fox has been inferior to what espn / abc / cbs do on a regular basis .],[O O O O O O O O O O B-Aspect O O O B-Aspect O O O O B-Object O O B-Predicate O O B-Object O B-Object O B-Object O O O O O O]
"[if espn is never done adding and tweaking their talent , then obviously fox will be almost equally as active .]",[O B-Object O O O O O O O B-Aspect O O O B-Object O O O B-Predicate I-Predicate I-Predicate O]
[the bad news is that fox is still not seeing a lot of momentum on the ratings front for original programming and resources aren ' t as abundant than at espn .],[O O O O O B-Object O O O O O O O O O O O O O O O O B-Aspect B-Predicate I-Predicate I-Predicate I-Predicate I-Predicate O O B-Object O]
"[i ' ll take the tnt , espn , abc issues as it is better than listening to the circus attitude fox gives us .]",[O O O O O B-Object O B-Object O B-Object O O O O B-Predicate O O O O O O B-Object O O O]
"[i do know espn will be better than fox , as they have been left in the dust .]",[O O O B-Object O O B-Predicate O B-Object O O O O O O O O O O]
"[not a bad thing for those of us not interested in soccer , because fox sports will be easier to avoid than espn when surfing channels .]",[O O O O O O O O O O O O O O B-Object O O O B-Predicate O B-Aspect O B-Object O O O O]
"[having the espn tag with your programming is much easier to sell local advertising than the competitors : fox sports radio , yahoo ! sports radio , cbs sports , and the nbc sports radio network ( of which i have never actually heard ).]",[O O B-Object O O O O O O B-Predicate O B-Aspect O B-Aspect O O O O B-Object O O O B-Object O O O O B-Object O O O O B-Object O O O O O O O O O O O O]
"[when it comes to watching football and basketball , fox sports is superior to espn in nearly every single way .]",[O O O O B-Aspect I-Aspect O B-Aspect O B-Object O O B-Predicate O B-Object O O O O O O]
[over the weekend fox sports oklahoma did something smarter than what espn has been doing lately .],[O O O B-Object O O O O B-Predicate O O B-Object O O O O O]
[in fact all of fox sports radio is better than espn radio .],[O O O O B-Object O B-Aspect O B-Predicate O B-Object B-Aspect O]
[i really like the coverage on fox sports its much better than on espn .],[O O O O B-Aspect O B-Object O O O B-Predicate O O B-Object O]
"[those are brutal start times for fox sports , and there is little chance fox will average better viewership numbers than espn .]",[O O O O O O B-Object O O O O O O O B-Object O O B-Predicate B-Aspect I-Aspect O B-Object O]
[both fox channels absolutely suck in quality compared to espn .],[O B-Object O O B-Predicate O B-Aspect O O B-Object O]
"[mike joy does such a great job and as long as i don ' t have to listen to jaws all the time , i like larry and hammond , can still do without myers , fox does a much better job than espn .]",[O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Object O O O B-Predicate O O B-Object O]
"[the hd picture on fox looks great tonight , about 4 million times better than the espn game that they tried to pass off as hd .]",[O B-Aspect I-Aspect O B-Object O O O O O O O O B-Predicate O O B-Object O O O O O O O O O O]
"[( espn is worse than fox at this even for nationwide races ) i know times change , but a 5 minute commercial break and then a green flag with a stupid digger cam , digger animation , and a crawler to order a digger ring tone !]",[O B-Object O B-Predicate O B-Object O O O O O O O O O O O O O O O O B-Aspect I-Aspect O O O O O O O O O O O O O O O O O O O O O O O O]
"[after watching digger come out of his hole approximately 147 times this weekend , i was starting to change my opinion that fox is better than espn and put the 4 - letter network back at the top when it comes to nascar coverage .]",[O O O O O O O O O O O O O O O O O O O O O O B-Object O B-Predicate O B-Object O O O O O O O O O O O O O O O O O O]
"[fox goes more ' serious ' than espn with their jackets , especially since mike , larry , and darrell usually choose different colors than traditional network - grade navy blue .]",[B-Object O B-Predicate I-Predicate I-Predicate I-Predicate O B-Object O O O O O O O O O O O O O O O O O O O O O O O O]
"[for that anonymous who said fox tv ' s ratings are down and talked about fox personalities ... if he did any checking .. fox ' s prerace show got better ratings than many races last year on tnt and espn .. dw , hammond , and myers help to promote nascar .. nascar needs better racing to promote itself]",[O O O O O B-Object O O O O O O O O O B-Object O O O O O O O O B-Object O O O O O B-Predicate B-Aspect O O O O O O B-Object O B-Object O O O O O O O O O O O O O O O O O O O]
"[fox , or , as i call it , fake news is no better than the networks , cnn , etc .]",[B-Object O O O O O O O O O O O B-Predicate I-Predicate O O O O B-Object O O O]
[cnn should know better to even bring that shit up they are no better than fox news .],[B-Object O O O O O O O O O O O B-Predicate I-Predicate O B-Object O O]
"[and , liberal bias or not , cnn is still the best for this type of coverage - better than the broadcast networks , much less fox .)]",[O O O O O O O B-Object O O O O O O O O B-Aspect O B-Predicate O O O O O O O B-Object O]
[wow ... a cnn poll says dems are better off than the gop ... the same survey on fox said the opposite ( with a much larger margin ).],[O O O O O O B-Object O B-Predicate O O O B-Object O O O O O O O O O O O O O O O O]
[his fox news channel has a larger u . s . audience than cnn .],[O B-Object O O O O B-Predicate O O O O B-Aspect O B-Object O]
[and yes fox does have a larger viewership than cnn or msnbc .],[O O B-Object O O O B-Predicate B-Aspect O B-Object O B-Object O]
[fox has by far the largest audience in the evenings -- larger than msnbc and cnn combined .],[B-Object O O O O O B-Aspect O O O O B-Predicate O B-Object O B-Object O O]
[on the topic of fox news ... they aren ' t any worse than abc / nbc / cbs / msnbc / cnn / etc .],[O O O O B-Object O O O B-Predicate I-Predicate I-Predicate O B-Predicate O B-Object O B-Object O B-Object O B-Object O B-Object O O O]
"[in fact , fox news unbalanced bias favoring romney makes them no better than cnn , msnbc etc .]",[O O O B-Object O O O O O O O B-Predicate I-Predicate O B-Object O B-Object O O]
"[besides , the democrats aren ' t refusing to debate on fox because it ' s any worse than cnn , etc - they ' re doing it because it pleases their hardcore base and because they have thin skins , as they are not used to being criticized .]",[O O O O O O O O O O O B-Object O O O O O B-Predicate O B-Object O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O]
"[and as for the other big cable network , cnn , ricks said he thinks it is far better than either fox or msnbc .]",[O O O O O O O O O B-Object O O O O O O O O B-Predicate O O B-Object O B-Object O]
"[fox is nothing but three extra letters floating in the bowl of rancid alphabet network soup , no better than abc / cnn / see - bs / nbc and the rest of them .]",[B-Object O O O O O O O O O O O O O O O O B-Predicate I-Predicate O B-Object O B-Object O O O O O B-Object O O O O O O]
"[present - day cnn is of gutter - trash quality , only nominally better than the laughably unbiased fox news .]",[O O O B-Object O O O O O O O O O B-Predicate O O O O B-Object O O]
"[this article is pretty lame , but cnn has done a much better job covering the gop field without bias than fox .]",[O O O O O O O B-Object O O O O B-Predicate O B-Aspect I-Aspect I-Aspect I-Aspect O O O B-Object O]
"[foxs news is no better than abc , cbs , nbc msnbc , cnn , because they ont have the balls to speak up and speak the truth !]",[B-Object O O B-Predicate I-Predicate O B-Object O B-Object O B-Object I-Object O B-Object O O O O O O O O O O O O O O O]
"[no matter how walton tries to spin it , the truth of the matter is obvious : cnn management knows it doesn ' t have the brainpower in its newsrooms to create better shows than fox , so they ' re going to stop trying .]",[O O O O O O O O O O O O O O O O O B-Object O O O B-Predicate I-Predicate I-Predicate O O B-Aspect O O O O O B-Predicate B-Aspect O B-Object O O O O O O O O O O]
[sometimes fox news is a faster reporter of what happened than cnn .],[O B-Object O O O B-Predicate B-Aspect O O O O B-Object O]
[what net neutrality will do is prevent fox news from paying - say cablevision - to make sure their videos and website load faster than cnn or indeed my site .],[O O O O O O O B-Object O O O O O O O O O O O O O O B-Aspect B-Predicate O B-Object O O O O O]
"[stock analyst michael gallant told the chicago tribune that while fox is growing faster , cnn is still earning about $ 200 million more per year than fox .]",[O O O O O O O O O O B-Object O B-Aspect B-Predicate O B-Object O O B-Aspect O O O O B-Predicate O O O B-Object O]
"[it means that , for example , if verizon is a partner with fox news they ' ll want to favor fox news ' website meaning it will load faster than a competitor ' s , like let ' s say , cnn , for no reason other than favoritism .]",[O O O O O O O O O O O O O B-Object O O O O O O O B-Object O O O O O O B-Aspect B-Predicate O O O O O O O O O O O O B-Object O O O O O O O O]
"[stock analyst michael gallant told the chicago tribune ( 11 / 28 / 03 ) that while fox is growing faster , cnn is still earning about $ 200 million more per year than fox ( television week , 10 / 20 / 03 ).]",[O O O O O O O O O O O O O O O O O B-Object O B-Aspect B-Predicate O B-Object O O B-Aspect O O O O B-Predicate O O O B-Object O O O O O O O O O O]
[fox news is vastly superior to either cnn or msnbc .],[B-Object O O O B-Predicate O O B-Object O B-Object O]
[fox news is no worse than cnn or msnbc .],[B-Object O O B-Predicate I-Predicate O B-Object O B-Object O]
"[fox news is far superior to cnn and msnbc , both of which sacrifice entertainment for accuracy .]",[B-Object O O O B-Predicate O B-Object O B-Object O O O O O B-Aspect O B-Aspect O]
"[cnn is no better than fox , msnbc , etc .]",[B-Object O B-Predicate I-Predicate O B-Object O B-Object O O O]
[foxnews rating are 5 times greater than their nearest competitor cnn .],[B-Object B-Aspect O O O B-Predicate O O O O B-Object O]
"[fox regularly has a combined nightly audience , 5pm - midnite , greater than that of cnbc , msnbc and cnn , combined .]",[B-Object O O O O O B-Aspect O O O O O B-Predicate O O O B-Object O B-Object O B-Object O O O]
"[the brand promoted here are the fox personalities rather than individual stories , to a much greater degree than cnn or msnbc .]",[O O B-Aspect O O O B-Object O O O O O O O O O B-Predicate O O B-Object O B-Object O]
"[fox employs many liberals , whose numbers probably are greater than the number of conservatives employed by cnn and the other networks .]",[B-Object O O B-Aspect O O O O O B-Predicate O O O O B-Aspect O O B-Object O O O O O]
"[this was serious charge , suggesting that fox news had greater interests in the success of the u . s . military operation than cnn .]",[O O O O O O O B-Object O O B-Predicate B-Aspect O O O O O O O O O O O O B-Object O]
[fox news is easier to watch than cnn and that is saying something .],[B-Object O O B-Predicate O B-Aspect O B-Object O O O O O O]
"[oddly enough , he calls his stint at fox his happiest : it was easier to work with out - and - out conservatives than with executives at cnn and msnbc , who lived in constant fear that they would be accused of liberal bias .]",[O O O O O O O O B-Object O O O O O B-Predicate O B-Aspect O O O O O O O O O O O B-Object O B-Object O O O O O O O O O O O O O O O]
"[on another note , i think it ' s easier to punk blond reporters from fox news than cnn , imo .]",[O O O O O O O O O B-Predicate O B-Aspect I-Aspect I-Aspect O B-Object O O B-Object O O O]
[i ' ll look into the bondi / kelly interview that should be easier because for some reason fox is more forthcoming than cnn or any of the alphabets .],[O O O O O O O O O O O O O O O O O O B-Object O B-Predicate I-Predicate O B-Object O O O O O O]
