label	text
0	when did the army air corp become the air force
0	who does babar the elephant marry and what was her name
0	What is EV Derma?
0	what was the purpose of the arc of the covenant
0	how amt phaseout work
0	who established the indian society of oriental art
0	Can just anyone see my pictures, if I put them on Google Photo?
1	Is there a difference between anxiety attacks and panic attacks?
1	Union Public Service Commission (India): What are some good IAS coaching centers in Bhubaneswar?
0	what does natural rights mean
0	From where I can learn Python OpenCV?
0	when is season 2 of regal academy coming out
0	How would a small YouTuber (30+ subs) find somebody to collaborate with (gaming)?
1	Which is the best coaching class for CFA Level 1 in Mumbai?
0	to what extent was it possible for existing governments of the nineteenth century to reform society quizlet
0	is a credit union a corporation
0	when did the dollar bill come into existence
0	Why do some people think that the Earth is flat when it is very clear that it is not?
0	how many countries in the world have universal health care
0	what chemicals are tested in pools
0	a hydrocarbon that is not classified as aromatic must be classified as
0	can caffeine pass through breast milk
0	who played the human torch in fantastic four
0	what's inside by camera lenses will not wipe off
0	How do I start learning digital marketing?
0	If I don't get a job at the end of the PG-DAC course in C-DAC, Banglore, is my C-DAC course completion certificate considered in getting me an off-campus job?
0	who sings the beauty and the beast song during the credits
0	what is the role of neurons in response
0	How do you deal with the loneliness after a breakup?
0	Why did god create humans?
1	What's the smartest and cheapest way to send my personal LED screen from Mumbai to my hometown in Uttarakhand?
0	What is high power money?
0	How can I delete photos from my iPhone but keep them in iCloud?
0	how long does a small munsterlander live?
0	How can I write a good summary for the process of mitosis?
0	when was wake me up before you go go
0	how to reach 100000 gamerscore
0	what is a freedom of the city award
0	can spinal arthritis cause facial swelling
0	If you took a compass into space, which direction would the needle point?
0	what is the provisional wing of the ira
0	are council members elected or appointed
0	who sings make em laugh in singin in the rain
0	what dose of aspirin do i give my dog for arthritis?
0	can you load cbs all access on the fire stick?
0	where are the next winter olympic games held
0	what is a smart house technologies
0	was one of the first leaders of the republican party
0	Is diversity a good thing?
0	What are Codecademy equivalents for all kinds of things?
0	when did frasier start running
0	Should I take an MS in interdisciplinary (MEMS NEMS) at IIT Madras? How are the placements and department?
0	when did the deathly hallows movie come out
0	when was the articles of confederation
0	Why do bot porn blogs follow me on Tumblr?
0	how many branches of the federal reserve system were established to operate across the country
0	what does an ach signal stand for in pinout diagrams?
0	how to stretch a tight calf muscle
0	Why does XM/Sirius broadcast in such poor quality?
0	what is worldwide product division structure
1	how does aa differ from womens for sobriety
0	what does cardio refer to
0	How can I easily pass the C2180-278 exam?
0	what is fiber in food
0	What is inside the bullet?
0	what is a non heated windshield
0	what does a logistic manager do
0	what happened to the jews of stopnica at ww2
0	proactivity can be best defined as the fact that
0	what two streets in san francisco became the headquarters for the hippie movement
0	did heisenberg build a reactor
0	where is the bridge that goes under water
0	what does a number raised to the zero power mean
0	how to change simpro quote number
0	how to pay off back taxes
0	how many spanish speakers in new york city
0	why must there be a new moon for a solar eclipse to occur
0	where does the border wall start and end
0	who sings the theme song for the show cops
0	where did anne of green gables take place
0	what does a squirrel make their nest with
0	How does ATM transaction work?
0	what did bill clinton do
0	how much does a bartender make in florida
0	what channel is cnn on sirius xm
0	what is a normal resting heart pulse
1	What is the most efficient electrical generator?
0	what age do children go to booster seats
0	what is kpi reporting
0	how to be a good platoon leader
0	what's the name of the cartoon that was in a spaceship on cartoon network
0	Will an object move with uniform acceleration in vacuum, if it is given an initial force at time t=0?
1	What is the difference between responsive and adaptive design?
0	can milk curdle in your stomach
1	Which is the best place to do sex?
1	What's your best travel hack?
0	when does the new saw 8 come out
0	how many times can you give bone marrow
0	how far is holiday world to hampton inn in jasper indiana
0	who played the mother in the original parent trap
0	what are three forms of kinetic energy
0	where are alkaline earth metals found on earth
0	which metabolic pathway is used in both fermentation and cellular respiration
0	can stress cause skin rashes
1	what is the tallest mt in the world
0	What percentage of Israeli Jews are atheists?
1	What are good journals/magazines for computer science to publish to?
0	what county is celebration, fl in
0	what was the population of the united states in 1865
1	What are some of the best places to visit in your country?
1	Which are the best educational websites which offers educational content for free?educational websites
0	how to calculate centre of gravity in an aircraft
0	who wrote it is better to have loved and lost than never to have loved at all
0	How do I stop being a pushover?
0	who plays wasabi in big hero 6 the series
0	who does francis and the lights sound like
0	how does the gi bill pay bah for online classes
0	what states don't do daylight savings
0	where was pete sampras from
0	what cellular respiration process produce water
0	what type of dog was cujo
0	what branch of government meets in the supreme court building
1	which was the first country to bad slavery
0	how many pages are in the harry potter series
0	Why are people in abusive relationships so reluctant to leave?
1	What is difference between OCJP and SCJP Certification?
1	What are the most popular goods exported from India to Dubai?
0	what brands of salt can you find microplastics in
0	I know some people that STILL believe the earth is flat. Why?
0	How can I talk to my child about death?
0	is writing the letter q can identify a liar
0	Do only engineers of cs and IT branch get high packages?
0	did todd martin tennis have a unibrow
0	how long after being exposed to a cold virus do you get sick
1	What are some good songs to listen to when depressed?
0	what is the federal common core education curriculum program
0	who developed a method of teaching still used today
0	what is the appropriate hand placement on a steering wheel in maryland
0	how do i scan QC code in watch to my iphone
0	what does the name salamanca mean
0	What are the signals that a girl gives if she's interested in a guy?
0	CAN A PREVIOUS UAN number BE TRACED using PAN CARD?
1	What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Penang?
1	What is the best way to improve your web development skills?
0	'when did david bowie''s first album come out'
0	is plague inc the real game
0	How many more Ballon d'Or trophies will Cristiano Ronaldo win from now on?
1	What is the best way to lose belly fat? (workout, natural remedies and pills)
0	what did the magna carta guarantee
1	who is the youngest person on the supreme court
0	when does lofe of the party come out
0	How do I choose the right religion if the gods or god seem to claim they/he are/is the one and only thing I should believe in. Should christians and muslims investigate/compare and find out the truth for us?
0	"Why does it say ""INRI"" on Jesus's cross?"
0	what is psychometrics evaporation
0	how can i see a recommendation section on linkedin
0	Is Turkey fully Westernized?
0	who played curly in the three stooges movie
0	what language family does english belong to
0	Why did world war happen?
0	'what is planck''s law of blackbody radiation'
0	where was the movie return to snowy river filmed
0	what is the h & r block guarantee
0	what are the names of the gases that are in the mantle
0	who were the exodusters and why did they migrate to kansas in 1879
0	how long does disability insurance last
0	how much do top end escorts charge for sex
1	Which phone is better, a single SIM or a dual SIM?
0	what county is metamora indiana in
0	how far from the heavy rain of a thunder storm can lightning strike
1	What is the best website for consumer product reviews?
0	how much is 0.01% of 45,000,000,000
0	when was the book ready player one written
0	what is cdss
0	Where is Brendan Fraser now?
0	what can fill you up when your on a diet
0	what county is deckerville, mi
0	what chapter does nisekoi anime end
0	What does it mean when people say dry semen/sperm?
1	What is your favourite subject?
0	which oscar father has an oscar winning daughter
0	what does the triangle in a circle represent in sacred geometry
1	what are the benefits of niacin taking it orally for the skin?
0	what does reticulocyte test for
0	how do i get champion matchs on my MXQ box
0	What are some free responsive Magento themes?
0	'who plays alex''s brother on 13 reasons why'
0	Will the currency ban in India affect the economy?
0	what is going on in the bruneian economy
0	How do you find an arc length of a circle if you only know the radius, but do not know theta?
0	when was the song smoke gets in your eyes written
0	What do you think lifelong learning is?
0	did the ss united states ever have nuclear power
0	Why was India termed as a country before 1800, though there was no unified ruler?
0	why did director vance break up the team
0	'what is penny''s dad''s name on the big bang theory'
0	Where do women get sex tips?
0	when are the national book award winners announced
0	where did the phrase once more with feeling come from
0	'what''s donnas real name from that 70''s show'
0	what is an auc score
0	what is robitussin ac
0	what does cvb military
0	who plays calvin in a wrinkle in time
0	what are the requirements to be a united states citizen
0	what consists in a smile
0	who is the team captain of the warriors
0	is the northern portion of the tonga trench a convergent plate boundary
0	How do authors and writers keeps privacy of their content in the process of publishing books for securing their ownership?
0	what is the length of an nhl hockey rink
0	How do people get the motivation to go to the gym like every day?
0	when does rick and morty come on itunes
0	what is a memo format
0	Do Indians hate Bangladeshis?
0	what mg are yellow klonopin
0	what does the electrical term mean uf
0	does sublingual adderall work
0	How can I improve programming skills?
0	was Hitler voted into office
0	Visual Effects Studios: What is a typical technical supervisor salary?
0	With Trump and GOP winning, how do you feel now?
1	who had the most points in an nba game
0	when did the vikings start using the skol chant
0	what color represents kidney disease
1	What are the various benefits and challenges of using commercial Basic dialects like PureBasic or RealBasic to create production software?
0	Do people speak English at IIT Roorkee?
0	how to calculate vacate day
0	what causes calcium oxalate crystals
0	what is primary beneficiary vs contingent beneficiary
0	where is finland located on a map of europe
0	How can the chemical formula of magnesium bromide be determined?
0	who is pythagoras of greece
0	what machinery was used to make luger pistols
0	where did julie payette go to school
1	'who won the ballon d''or the most times'
0	does a victim have to testify at a probable cause hearing
0	what are the key attributes to value management
0	Is the new Macbook Pro 2016 an over priced disappointment?
0	when did the roger rabbit dance come out
0	what county is castro valley, ca in
0	what does the lightning bug
0	what is the degrees of a 7 sided shape
1	Which TV series has the best ending?
0	when does emma believe in once upon a time
0	how long to bake chicken drumsticks at 350
0	how much should a website seal cost
0	How can I motivate myself to study even if I'm not interested in education?
0	How do I get a question posted?
0	Why shouldn’t I visit your country?
0	Why does Indian government impose tax on the remuneration received for services rendered abroad?
0	what is a gorillas favorite food
1	What’s the funniest thing that’s ever happened to you?
0	How can an ectomorph, who is also a vegetarian, gain some weight in a healthy way?
0	what district is pulaski academy in
1	How to Burn the Most Fat
0	Is it possible Donald Trump is about to become the next President of the United States?
1	Which is best start up in India?
0	how was tape invented
0	what are antecedents in grammar
0	How are laxatives good to induce labor?
0	what fuel in a yamaha 80 outboard 2 stroke
0	who wrote the music to fiddler on the roof
0	who sings gimme some lovin in days of thunder
1	Which are the best Drug or Alcohol Rehab, Detox and Recovery Program Centers in the Monterey County California area?
0	Are there any books that always make you cry?
1	which is the deepest hole in the world
0	does a tia cause sweating
1	what is the most disliked song on youtube
0	who won the academy award for best actor in 2016
0	are platypus the only mammals that lay eggs
1	Can you show me some good website to get coupon codes of Burton?
0	what does a mission consist of
0	What are the roles of nitrogen-fixing bacteria? How important is it?
0	what was the number one song on june 20th 1991
0	how far is faribault from winona?
0	How do I solve the FIBOSUM Problem on SPOJ?
1	what was the main cause of the declaration of independence
0	How and why do senior Government officials take shelter under 'Plausible Deniability'?
0	how long does it take for fda to approval after second phase?
0	How can you prepare homemade dog food for a 3 month old puppy? What solid food would be safe to administer?
0	what do ptsd treatments do for patient
0	when did you have to have a passport to go to canada
0	Is Area 51 fact or fiction?
0	how to change skins in overwatch
0	when is the next who is america episode
0	"Why did the Philippine president Rodrigo Duterte call Barack Obama a ""son of a bitch""?"
0	what does the poppy mean
0	how long does it take for baby cat eyes to open
0	how long did emperor showa rule
0	when did the british royal house change its name from saxe-coburg and gotha to windsor
0	What are some of the inventions from the bronze age? How are they still used?
0	How many rivers does Canada have?
0	Is lupus hereditary or genetic
0	when was the death penalty first introduced in the uk
0	How can I know if someone has blocked me on Hike?
0	How has the year 2016 been for you?
0	how many times have the williams sisters played each other
0	"If the plural for goose is geese, then why isn't the plural for moose ""meese""?"
0	what is the phone number for palmer and company in easton
0	Why do we wear underwear?
0	when does baby boy hormones start
0	where is st kitts and nevis located longitude
0	How can I delete all my answers that are on Quora?
0	how can you lose you period
0	what is the name of the hurricane before irma
1	which of the three west african kingdoms was the largest
0	where does the queen go on a chess board
0	how many films were nominated for the best picture oscar at the 2018 academy awards
0	who traveled around the world in 80 days
0	do nothin till you hear from me delta rhythm boys
0	"How do you re create the ""mise en scene"" of Britain's Got Talent or American Idol on a talent website like Famocracy.com?"
0	What is the p/q form of 0.3 bar?
1	what is the most landlocked place in england
0	wrote the republic which describes an ideal society
0	who plays lee strobel in case for christ
1	Who's the most known person in the world?
0	who invented the atm machine and in what year
0	can insurance premiums be paid from hsa
0	what is the meaning of sr5 in toyota
0	what is the name of currency of bhutan
0	where is the fossa ovalis located in the heart
0	when was super fudge published
0	is the child tax credit increasing
0	what is the control centre of a cell
0	when did jurassic world come out
0	where should a person in the heat escape lessening place their hands
0	what is the first episode of code geass
0	how much prize money does the winner of the rogers cup tennis tournament get
0	what does coe flatbed mean
0	who plays the cop in parks and recreation
0	Do orchestras need a conductor?
0	how long to cook frozen shrimp
0	Can anyone give me an example for NRU (not recently used) page replacement algorithm?
0	Why is a large part of people in Quora so pretentious and arrogant?
0	did the minnesota twins win last night
0	what is the salary of a corporal in the marines
0	At the end what will be there in the universe?
1	What is the difference between the IMF and the World Bank?
0	what are the gif
0	What's rayon? How is it made?
0	why are the olympic rings the colors they are
0	where does the expression opening a can of worms come from
0	Is it true that if you kiss a French person after a date or two, that you are automatically in a relationship? 
0	who sang bend me shape me anyway you want me
1	What are the best aspects of working at Coca-Cola Bottling?
0	how old is princess alexandra of kent
0	Do you have a good story using a trust deed to clear debt? (Stay anonymous if you wish)
0	who will take general kelly's place at homeland security?
0	'who played the pharmacist in it''s a wonderful life'
0	how to clean out the drip tray on lg lfx2597 refrigerator
0	what's a variable ict
0	Which team deserves to win IPL 2014? Why?
0	what makes plant cells green
1	What is the best thing to do to improve life?
0	when did indoor plumbing become common in europe
0	What were your first words?
0	how much sugar should we eat per day
0	when did the north win the civil war
0	how much does it cost to clothe a child for a year
1	What is the largest single component of the united states current account
0	who wants to be a millionaire current host
0	As a lawyer, what book would you recommend to someone who isn't one, but is curious about the law/jurisprudence as an intellectual endeavor?
0	when do rams tickets go on sale 2016
0	who made the bible into chapters and verses
1	Who is better between Hillary Clinton and Donald Trump as a US president?
0	what are some synonyms for excellent
0	how many types of basset hounds are there
1	What are the pros and cons of socialism and communism?
0	what does rar stand for in accounting
0	where is the rubicon river in ancient rome
0	Can I use Reliance Jio sim in 3G phones?
0	How can i learning programming?
0	what did durkheim mean by the unstated terms of the social contract?
0	What is the example of analogy?
0	what does simple circuit contain
0	how can I increase the size of my local temp folder
0	how long will larry leclere go to prison
0	why do green bay and georgia have the same logo
0	how a breadboard works
0	how long does it take in college to be a pet rescuer?
0	when did hank get shot in breaking bad
0	what causes eye hemorrhages
0	How do I prepare for an L&T (mechanical) interview?
0	who played the sith lord in return of the jedi
0	what should i pay a household manager
0	Does the subject of authentic leadership is trending know for a PHD?
0	"What are some sentence examples using ""devastate""?"
1	What are your greatest accomplishments?
0	what does a spongy cell do
0	what is the average cost of donor eggs
0	what does legislature noun or what
0	when is 50 shades freed coming out uk
0	What are my chances to get a call from IIM?
0	is it appropriate to give examples in a written synthesis
0	what is at haight and ashbury in san francisco
0	What salary should I write down on a job application?
0	what does minimum essential coverage mean in the aca
0	when did slavery end apwh
0	how food affects blood sugar
0	what is interstellar meaning
0	where was the movie when we first met filmed
0	how far is it from my location to south carolina
0	where is carson iowa
0	I am 12th class non medical students. I want to be an IAS. What should I do after 12?
0	can chewing tobacco cause gerd
0	what are the materials that they put in coffee for insulation
0	How many marks we have to get in sir j j college of architecture?
0	can an independent contractor set up a sep for themselves
0	how many high schools are there in florida
0	patient is inpatient then obs back to inpatient
0	what is grans
1	what is the difference between yahweh and adonai
0	when is the last time minnesota vikings won a superbowl
0	what are the first names of the everly brothers
0	are ferrets and skunks related
0	when entering a value in a cell make it a certain color
0	how did tiffany get her body back in chucky
0	this hotel is a boeing 747 parked at the entrance to a commercial airport
0	how did dinosaurs bones survive
0	how many justices are on the florida supreme court
0	how much was a new brough superior
0	what is the glycemic index? how it is used to help manage blood sugar levels?
0	how much is one peso in american money
0	Is a vote for Hillary Clinton a vote for war?
0	On average, how much do you sumo wrestlers weigh?
0	when does the new episode of criminal minds air
1	What country has the best healthcare system in the world?
0	Where can I found very durable and easy to clean floor tiles in Sydney?
0	what is the meaning of comprehensive test
0	What websites do you view everyday without fail?
0	what jai guru deva mean
0	Are there any cereals that taste good with water?
0	what are these immature neutrophils called? quizlet
0	what is normal bilirubin levels
0	"Can I slap ""Forever"" stamps on a letter to Canada?"
0	what is the apes name in tarzan of the apes
1	what are the best gas stove tops
0	Is there any way I can get a list of all of my Gmail accounts?
0	is the nfl a nonprofit organization
1	What are the most advanced car gadgets that people don't know about yet?
0	'when was now that''s what i call music released'
0	what epoch are we in?
1	What's the best way to quit meth?
0	who was president during lewis and clark
0	can i claim paint on my taxes
0	how to loosen up a fitted cap?
0	when was the first pig killed in lord of the flies
1	Which one is better, computer science or computer engineering? Why?
0	what was the last episode of love boat
0	What is the complete chronological order of each Dragon Ball TV series and movies?
0	who plays jughead
1	What are some of the funniest Narendra Modi memes?
0	what is upper case and lower case character
0	Why do people ask so many Googleable questions on Quora?
0	who sang monday night football before carrie underwood
0	What I can do for corruption free India?
0	what day did the nfl season start
0	what is a silver tongue
0	What is the reason of the poor performance of India in the Olympics?
1	What are the best tools for augmented reality development?
0	what is a Railroad signal unit
0	what part or parts of the nephron are found in the renal medulla
0	what expenses can i deduct for sale of home
0	Can DNC Committee Chair Debbie Wasserman Schultz be fired? Who has the power to remove her if she was deemed to be doing a bad job?
0	where does the phrase jeepers creepers come from
0	what should a customer wear to loan closing
1	how are red giants different from main sequence stars
0	what is a flac recording
0	what are osler nodes
0	what does an mri of the abdomen show the intestines
0	who played lyla montgomery on as the world turns
1	who had the least amount of solos in debut album up all night
0	How is school changing in the 21st century in Palestine?
0	what is the meaning of the name siri
1	Which building has the best architecture in Malaysia?
0	Why do I consume candy/beverages so fast?
0	'who''s on the block for big brother 19'
0	What is suitable simulation program to simulate Zigbee and WiFi Coexistence? (involving backoff mechanism, packets and parameters)
0	Will the new Rs 2000 notes carry a nano GPS chip? Will it really Help?
0	what does circulation mean in the water cycle
0	can sutures wait?
0	tracfone is owned by what company
1	What are some good arguments against the existence of God?
0	what do fraccionamiento means
0	what does it mean when your being sexually abused
0	Does masturbation causes low sperm count?
0	where did humanism originate
0	what are my payroll tax rates for oregon
1	What are the best study strategies?
1	What is difference between FEM and FEA?
0	what does american pregnancy association provide
0	what are the layers of the osi model
1	is cuba health care better
0	how much does it cost to eat for a week in washington dc
0	what brands of soda does pepsi make
0	Can my boss access my Gmail chat history?
0	what's the zip code for schoolcraft
0	how to grow succulent plant cuttings
0	what can cause a fluttering heart
0	which structure is an essential part of most fungal reproduction
1	What's the difference between mechanical engineering and materials engineering?
0	Why don't real people who want to have monogamous sex ever meet each other unless they pay for online chatting?
0	who is known as the father of indian national congress
0	is it safe to sit under a hair dryer for type 4 hair
0	How do I prepare for CAT from scratch? Which books should I follow for different sections?
0	what does format means in python
0	How did anyone know the Unforgivable Curse was used on baby Harry Potter?
0	when does the full version of fortnite release
0	which goal of the populist party led to the early popularity
0	How can someone be an agnostic and an atheist at the same time?
0	curium-242 was synthesized by bombarding an isotope with alpha particles
0	what are the predators of the gulper eel
0	how long should yearly paperwork for education be kept
0	what does a dri
0	who sings better man
0	what is the month?
0	When will the Effiel Tower collapse?
0	'when will halley''s comet be seen next'
0	how to cook sausage peppers onions
0	what are gums made up of
0	what bank takes the emerald card
0	which witch is the bad witch in oz
0	what day was abe lincoln born
0	What is conservation?
1	what is the hottest place in death valley
0	when does love bug season end in louisiana
0	what is the exchange rate for the malaysian ringgit
0	india became member of wipo in which year
1	'who has the most goals in us women''s soccer'
0	what are the wyoming mi school vacation
0	What are the career opportunities after doing Post Graduate certificate course in Remote sensing and GIS with an engineering degree (B.Tech) in electrical?
0	who does james earl jones play in the simpsons
0	how to germinate orchid seeds at home
0	How should I die without commiting suicide?
0	is avocado bad for sour stomach?
0	What are symbols of American culture?
0	who is all signed to def jam records
0	what are the we bee gees
0	who is playing the guitar in august rush
0	what is opportunity qualification process
1	Which are the best colleges in India for an MSc in physics?
0	what does arthralgia mean in medical terms
0	What might motivate African American/black voters to vote for Republicans?
0	Do identical twins hit puberty at the same time?
0	How can I start learning robotics?
0	What are the names and years of generations that have existed and still exist from the 19th century until present day?
0	How do you prove that nothing can go faster than light?
0	when did the nhl implement a salary cap
0	how to sa close the door in spanish
0	what is an entity form computers
0	Why do people like pop music?
0	Hillary Clinton: How did you and Mr. Clinton make so much money while you were Secretary of State?
0	How do I improve my machine drawing?
0	what treatment for severe itching skin
0	Are SBI CDM machines accepting new notes of 2000 and 500 now?
0	how long to heal a torn rotator cuff
0	what county is northside hospital atlanta
0	who wrote the 1937 novel their eyes were watching god an example of harlem renaissance literature
1	where is the most tobacco grown in the us
0	What are exceptions in periodic properties such as atomic size, ionisation potential, electron gain enthalpy, etc?
0	Should I text my crush first?
0	How do the Art of Living programs benefit one?
0	If Modi really wants to end black money, why can't he take an initiative of making his own party funds cashless?
0	is microsoft word on this computer
0	In what movies does Tom Hank's character die?
0	Does long distance relationship work?
0	what are participant support costs in a grant
0	what did the term scalawag refer to during reconstruction?
0	how many mg make a gram
0	What does Silicon Valley think of Bangalore?
0	were there earlier forms of the german flag why have the changes been made
0	What's your favourite fact?
0	what are micro nutrients in human diet
0	Why do liberals support abortion but oppose the death penalty?
0	what does materiality mean in accounting
0	How do I be a best product designer?
0	what can astronomy teach us
0	can your thyroid cause flutters in throat
0	'when is brother''s day celebrated in india'
0	Is it possible to be happy all the time? If yes, then how?
0	how old was the girl who played cha cha in grease
1	What are some good date bars in Richmond, VA?
0	What Armenians think about Arabs?
0	Can taking too much sugar cause diabetes?
0	name a neighbouring country of india which is republic
0	who sang the theme song for as told by ginger
0	How do I learn deep learning in 2 months?
0	"Do you think ""obediently serve God"" is the same meaning as ""obey God completely""?"
0	How many cows are there in the US?
0	what did the european settlers bring to australia
0	How can I use WhatsApp in laptop without any emulators without any mobile phone?
1	What is friction and what are the different types?
0	what is aba number of wells fargo bank in minnesota
0	What does the magnet do in blockheads?
0	How can dogs understand human language?
0	What novels have a good movie adaptation?
0	what band is stillwater based on in almost famous
0	the phrase preserve protect and defend is used in the constitution to describe
0	which describes the image formed by a convex mirror? check all that apply
0	I text the girl I love very often, but she replies with less frequency. Does that mean she has no interest in me?
0	who did twinkle end up with in fire and ice
0	what is door cam assembly on refrigerator
1	What is the best brand of soy sauce to go with fried rice?
0	What would someone need to do to live to 100 years old?
0	the cameras and monitors in the control room are controlledÃ²ÃÃ by
0	is ms excel a part of operation system software
0	what does absolute dating mean in science
0	what causes local winds>
0	What was the Kargil War? Who was responsible for it?
0	what does prefix mis mean
0	Who has invested in SpaceX?
0	what are the three primary ways radioactive isotopes can enter the body?
0	what are the desert planets
0	what could cause your upper back on left side to hurt
0	does north carolina recognize a south carolina health care power of attorney?
0	who sings you are a magnet and i am steel
0	why would an author include an image and caption in an informational text
0	what do hip raises do for your body?
0	where did rudolph the red-nosed reindeer come from
0	what are asymptomatic conditions
0	are cleomes annuals
0	how to keep a bond log
1	Which Android game people like the most?
0	when was the makkah royal clock tower hotel built
0	when do music note stems go up or down
0	Why does it seem like there are so many thin and beautiful women in NYC?
0	why does hong kong have its own passport
1	what is the maximum temperature can be measured using platinum tungsten thermometer
0	how long are the cables on half dome
0	what did europeans want in africa
0	what have been the major changes to american society since the beginning of the twenty first century
0	What are factors of 3?
0	is dragon stone an island?
0	How do you get to the Blue Palace in Skyrim?
0	where is the eiffel tower rank in tallest buildings
0	'who sings the song i''m going to jackson'
0	what is the main constituent of air
1	What are the best laptops available under INR 30000 (30k)?
0	How do UFOs travel?
0	where did king of the jungle come from
0	when are you getting your husband
0	what is the possibility of having hepatitis
0	what does sas plm stand for
0	Is it discriminatory to force a woman to cover up her nipples but not to force a man with equally large nipples to cover up his nipples?
0	How do you feel when you are about to get married?
0	what is an arq transmission system
0	what does the numbers mean on a florida drivers license
0	when did lynyrd skynyrd open for the who
0	new zealand is in which direction from india
0	what is the root of a website
0	Can skipping increase your height?
0	what are the ce requirements for nj real estate board
1	Do employees at Oceaneering International have a good work-life balance? Does this differ across positions and departments?
0	what are symptoms of low blood s
0	what do the cub scout segments mean
0	what is the name of the uva mascot
0	What does white smoke from motorcycle exhaust mean?
0	how old was methuselah
0	when was the last time the redskins won the super bowl
1	What are my best career options?
0	what are audio transients?
0	can you adjust the brightness of the computer
0	what does the name kaius mean
0	Is there a way to get taller, and increase your height?
0	who is delphis mother harry potter
0	what does an allen's hummingbird eat?
0	Which movie made a big difference in your life?
0	Why does anything exist?
0	how many acute rehab are in seattle
0	is it legal to possess high capacity magazines in california
0	what were the elements of the era of good feelings
0	when do the north carolina tar heels basketball team play again
0	how much money do companies spend in managing employee controls?
0	Can you play chess against yourself?
0	What is the full form of DSP?
0	what is full employment rate
0	what county is big lake, mn in
1	What are the differences and similarities between baking powder and baking soda?
0	when did the song return of the mack come out
1	who has held the office of chief ministers for longest term
0	who played the sheriff on dukes of hazzard
0	what is the incubation period for meningitis
0	what is gender inequality ?
0	I have a valid Canada business visa (B1), and I am interested in applying for a work permit in Canada. What are the chances of me getting a work permit considering I already have a Canada business visa?
1	What are the pros and cons to removing a Hemmorragic kidney cyst?
0	what is the meaning behind the song the sounds of silence
1	How does ISB, Hyderabad compare to IIM Ahmedabad?
0	"What's the origin of the phrase ""I am waiting on you""?"
0	what can i take for nausea and vomiting
0	how to install laminate flooring in bathroom
0	'who sang i''ve got friday on my mind'
0	Why do Indian Muslims hate Modi?
0	How do you purchase a stock?
0	when did the new shape audi a3 come out
0	what are the lyrics to little bunny foo foo
0	what county is fleur ave of des moines in?
1	What are the weirdest questions asked in TISS interview?
0	How can I turn off the screen overlay detected on my Samsung Galaxy J7 Prime?
