difficulty	preference	context	aspect	direct	opinion	argument	reason	method	factoid	super	comp	question	dataset
0	0	0	0	0	0	0	0	0	0	0	0	who did the voice of johnny in sing	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the battle of san jacinto start and end	g
0	0	0	0	0	0	0	0	0	0	0	0	when does the new season of gifted come out	g
0	0	0	0	0	0	0	0	0	0	0	0	how many animal species are there in the philippines	g
0	0	0	0	0	0	0	0	0	0	0	0	who replaced foggy in last of the summer wine	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the last time real madrid won copa del rey	g
0	1	0	1	0	0	0	0	0	1	1	1	who has the most elimination wins in challenge history	g
0	0	0	0	0	0	0	0	0	0	0	0	laws related to the protection of human subjects world medical association declaration of helsinki	g
0	1	0	1	0	0	0	0	0	1	1	1	who has the most pga tour wins in a season	g
0	0	0	0	0	0	0	0	0	0	0	0	who does buffy end up with in the comics	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the first train used in america	g
0	0	0	0	0	0	0	0	0	0	0	0	who was tha founder ruler of kota state	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the last time flyers made the playoffs	g
0	0	0	0	0	0	0	0	0	0	0	0	when do joe and helen get back together on wings	g
0	0	0	0	0	0	0	0	0	0	0	0	who sang i get a little help from my friends	g
0	0	0	0	0	0	0	0	0	0	0	0	where did the phrase did i stutter come from	g
0	0	0	0	0	0	0	0	0	0	0	0	who plays the evil queen in snow white	g
0	0	0	0	0	0	0	0	0	0	0	0	when did falcon first appear in the mcu	g
0	0	0	0	0	0	0	0	0	0	0	0	what kind of damage did mauna loa cause	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the jamaican bobsled team go to the olympics	g
0	0	0	0	0	0	0	0	0	0	0	0	when did pong become playable on the television	g
0	0	0	0	0	0	0	0	0	0	0	0	what are the tasks of a project manager	g
0	0	0	0	0	0	0	0	0	0	0	0	how many books will be in the horus heresy series	g
0	0	0	0	0	0	0	0	0	0	0	0	who is the only indian to have reached to single finals of all england championship	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the institute of st joseph accepted	g
0	0	0	0	0	0	0	0	0	0	0	0	what was the name of the hurricane in 2005	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the man in black become locke	g
0	1	0	1	0	0	0	0	0	1	1	1	who was the first official president of the united states	g
0	0	0	0	0	0	0	0	0	0	0	0	which state in india has english as mother tongue	g
0	0	0	0	0	0	0	0	0	0	0	0	how long is the freedom trail in miles	g
0	0	0	0	0	0	0	0	0	0	0	0	which place did british use as the spring board for the conquest of india	g
0	0	0	0	0	0	0	0	0	0	0	0	when is the feast of our lady of the rosary celebrated	g
0	0	0	0	0	0	0	0	0	0	0	0	who controlled the senate and house in 2008	g
0	0	0	0	0	0	0	0	0	0	0	0	when does tara from sons of anarchy die	g
0	0	0	0	0	0	0	0	0	0	0	0	when is dragon ball super 130 episode coming out	g
0	0	0	0	0	0	0	0	0	0	0	0	is the lead in crystal wine glasses safe	g
0	0	0	0	0	0	0	0	0	0	0	0	who voices mrs wolowitz in big bang theory	g
0	0	0	0	0	0	0	0	0	0	0	0	what happens to dan in one tree hill	g
0	0	0	0	0	0	0	0	0	0	0	0	who do you play as in metal gear solid 3	g
0	0	0	0	0	0	0	0	0	0	0	0	what happened to martin in aurora teagarden movies	g
0	0	0	0	0	0	0	0	0	0	0	0	what happened to germany's leader after ww1	g
0	0	0	0	0	0	0	0	0	0	0	0	who played julia sanderson on little house on the prairie	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the first field hockey game played	g
0	0	0	0	0	0	0	0	0	0	0	0	who plays ted how i met your mother	g
0	0	0	0	0	0	0	0	0	0	0	0	when does episode 103 dragon ball super come out	g
0	0	0	0	0	0	0	0	0	0	0	0	when did siam change its name to thailand	g
0	1	1	1	0	0	0	0	0	1	1	1	who is the highest paid athlete in the mlb	g
0	0	0	0	0	0	0	0	0	0	0	0	what are the two stages of mitotic phase	g
0	0	0	0	0	0	0	0	0	0	0	0	who fills out an aps for a health insurance applications	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the fur trade end and why	g
0	0	0	0	0	0	0	0	0	0	0	0	who wears number 64 for the new york yankees	g
0	0	0	0	0	0	0	0	0	0	0	0	who sang strange things happen in this world	g
0	0	0	0	0	0	0	0	0	0	0	0	who won the last men's fifa world cup	g
0	0	0	0	0	0	0	0	0	0	0	0	who played kaa in the original jungle book	g
0	0	0	0	0	0	0	0	0	0	0	0	where is the glass bridge at the grand canyon	g
0	0	0	0	0	0	0	0	0	0	0	0	who sings it's hard to be humble	g
0	0	0	0	0	0	0	0	0	0	0	0	who was affected by the embargo act of 1807	g
0	0	0	0	0	0	0	0	0	0	0	0	who is mr. potter in it's a wonderful life	g
0	0	0	0	0	0	0	0	0	0	0	0	who sang the song i am a conqueror	g
0	0	0	0	0	0	0	0	0	0	0	0	where does the last name borja come from	g
0	0	0	0	0	0	0	0	0	0	0	0	the organization that today is known as the bank of america did start out in america	g
0	0	0	0	0	0	0	0	0	0	0	0	who played brad's wife in wolf of wall street	g
0	0	0	0	0	0	0	0	0	0	0	0	mid fielder who joined arsenal from southampton in 2011	g
0	0	0	0	0	0	0	0	0	0	0	0	who were excluded from the declaration of independence	g
0	0	0	0	0	0	0	0	0	0	0	0	name of the dog in lady and the tramp	g
0	0	0	0	0	0	0	0	0	0	0	0	what are the different political parties in the united states	g
0	0	0	0	0	0	0	0	0	0	0	0	what animal is francine in the cartoon arthur	g
0	0	0	0	0	0	0	0	0	0	0	0	is the mass of water equal to its volume	g
0	0	0	0	0	0	0	0	0	0	0	0	how long did they film jersey shore reunion	g
0	0	0	0	0	0	0	0	0	0	0	0	what sport was added to the winter olympics in 2002	g
0	0	0	0	0	0	0	0	0	0	0	0	when does can you ever forgive me come out	g
0	0	0	0	0	0	0	0	0	0	0	0	when does season 6 of impractical jokers start	g
0	0	0	0	0	0	0	0	0	0	0	0	when does the new episode of wild n out come on	g
0	1	1	1	0	0	0	0	0	1	1	1	who is the first woman boxer to be honoured with the rajiv	g
0	1	0	1	0	0	0	0	0	1	1	1	who was the first player in bb history to return to the game after being evicted	g
0	0	0	0	0	0	0	0	0	0	0	0	how many games are the first round of the nba playoffs	g
0	0	0	0	0	0	0	0	0	0	0	0	is oprah on every cover of o magazine	g
0	1	0	1	0	0	0	0	0	1	1	1	who was the most popular president of the united states	g
0	0	0	0	0	0	0	0	0	0	0	0	who dubbed tommy vercetti in gta vice city	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the battle of panipat 1 fought	g
0	0	0	0	0	0	0	0	0	0	0	0	who signed the peace treaty of the civil war	g
0	0	0	0	0	0	0	0	0	0	0	0	when does the next magic tree house book come out	g
0	0	0	0	0	0	0	0	0	0	0	0	what trophies did man u win last season	g
0	0	0	0	0	0	0	0	0	0	0	0	how many episodes of happy valley season 2	g
0	0	0	0	0	0	0	0	0	0	0	0	what is top to bottom approach in c	g
0	0	0	0	0	0	0	0	0	0	0	0	who is the newborn son zachariah addresses in the last part of the benedictus	g
0	0	0	0	0	0	0	0	0	0	0	0	how big is gilead in the handmaid's tale	g
0	0	0	0	0	0	0	0	0	0	0	0	why was there only one season of my so called life	g
0	0	0	0	0	0	0	0	0	0	0	0	where does the term boiler plate come from	g
0	0	0	0	0	0	0	0	0	0	0	0	who gets credit for a combined no hitter	g
0	0	0	0	0	0	0	0	0	0	0	0	when did lynyrd skynyrd open for the who	g
0	0	0	0	0	0	0	0	0	0	0	0	what do greek say when they break plates	g
0	0	0	0	0	0	0	0	0	0	0	0	how much does a big mac cost in us	g
0	0	0	0	0	0	0	0	0	0	0	0	when did large numbers of african-americans first leave the south	g
0	0	0	0	0	0	0	0	0	0	0	0	who sings part of your world in the little mermaid movie	g
0	0	0	0	0	0	0	0	0	0	0	0	how many episodes of season 13 of criminal minds	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the original planet of the apes released	g
0	0	0	0	0	0	0	0	0	0	0	0	where do you get a marriage license from	g
0	0	0	0	0	0	0	0	0	0	0	0	who served as chief minister of balochistan for shortest period	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the african american get the right to vote	g
0	0	0	0	0	0	0	0	0	0	0	0	how many asnas are there in surya namaskar	g
0	0	0	0	0	0	0	0	0	0	0	0	when does strabger things season 3 come out	g
0	0	0	0	0	0	0	0	0	0	0	0	how many undergraduate business schools are there in the us	g
0	0	0	0	0	0	0	0	0	0	0	0	who are the guys who do the sonic commercials	g
0	0	0	0	0	0	0	0	0	0	0	0	who wrote the national anthem of pakistan in urdu	g
0	0	0	0	0	0	0	0	0	0	0	0	where is chichen itza located on a map	g
0	0	0	0	0	0	0	0	0	0	0	0	where are the berkshire hills located in massachusetts	g
0	0	0	0	0	0	0	0	0	0	0	0	where was the long way music video filmed	g
0	0	0	0	0	0	0	0	0	0	0	0	when did the first french settlers come to canada	g
0	0	0	0	0	0	0	0	0	0	0	0	when did recreational weed become legal in california	g
0	0	0	0	0	0	0	0	0	0	0	0	who played agathe in beauty and the beast	g
0	0	0	0	0	0	0	0	0	0	0	0	when does bad girl club come back on	g
0	0	0	0	0	0	0	0	0	0	0	0	do i need a gun permit for a shotgun	g
0	0	0	0	0	0	0	0	0	0	0	0	what does the red stripe on the marine uniform mean	g
0	0	0	0	0	0	0	0	0	0	0	0	how many states are members to the hague conference on private international law	g
0	0	0	0	0	0	0	0	0	0	0	0	what is an argument of a complex number	g
0	0	0	0	0	0	0	0	0	0	0	0	where is jim bob from the waltons now	g
0	0	0	0	0	0	0	0	0	0	0	0	who wrote the cat in the hat on aging	g
0	0	0	0	0	0	0	0	0	0	0	0	who is the voice on how i met your mother	g
0	0	0	0	0	0	0	0	0	0	0	0	who invented the internet and when did they invent it	g
0	0	0	0	0	0	0	0	0	0	0	0	where are the headquarters of the united nations located	g
0	0	0	0	0	0	0	0	0	0	0	0	when does a blue moon happen in nature	g
0	0	0	0	0	0	0	0	0	0	0	0	where did the boxing day tsunami take place	g
0	1	0	1	0	0	0	0	0	1	1	1	who is the longest running character on general hospital	g
0	1	0	1	0	0	0	0	0	1	1	1	who was the first person found not guilty by reason of insanity	g
0	0	0	0	0	0	0	0	0	0	0	0	where is the air force academy located at	g
0	0	0	0	0	0	0	0	0	0	0	0	which type of precautions must be followed for every patient whom you come in contact with	g
0	0	0	0	0	0	0	0	0	0	0	0	how many nfl games in a season total	g
0	0	0	0	0	0	0	0	0	0	0	0	is john olivers show last week tonight over	g
0	0	0	0	0	0	0	0	0	0	0	0	what general won a huge victory at vicksburg	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the song god on the mountain written	g
0	0	0	0	0	0	0	0	0	0	0	0	who sings the song i going to wichita	g
0	0	0	0	0	0	0	0	0	0	0	0	whats it called when a story starts at the end	g
0	0	0	0	0	0	0	0	0	0	0	0	which type of information system manages a document through all the stages of its processing	g
0	0	0	0	0	0	0	0	0	0	0	0	who held supreme power in the byzantine empire	g
0	0	0	0	0	0	0	0	0	0	0	0	new model army history the singles 85 91	g
0	1	0	1	0	0	0	0	0	1	1	1	the most recent addition to the texas bill of rights	g
0	0	0	0	0	0	0	0	0	0	0	0	when did all the toy story movies come out	g
0	0	0	0	0	0	0	0	0	0	0	0	where is st. jude children's hospital located	g
0	0	0	0	0	0	0	0	0	0	0	0	when was the last year coins were made of silver	g
