sentence,label
Dell [SEP] Microsoft [SEP] Dell worked closely with Microsoft Corp. during the development of Windows 7 and both companies are committed to delivering a great customer experience and superior long term value.,0
"BMW [SEP] Honda [SEP] An expensive BMW performs better than a low-priced Honda, so shouldn't a high-cost fund deliver better returns than a low-cost one, even after taking all expenses into account?",2
"PHP [SEP] Java [SEP] PHP is not better than Java, it is just better for ""typical"" web applications.",0
"Windows XP [SEP] Windows 8 [SEP] What puzzles him, though, is that with hundreds of millions of computers still running Windows XP-and Microsoft keener than ever to get their owners to migrate to Windows 7, if not Windows 8-the least the firm might have done is to make the whole upgrade path a good deal easier road to travel.",0
Nikon [SEP] Sigma [SEP] Either the Nikon or Sigma 70-300 seems like a better overall fit for now plus more in my budget.,0
"volleyball [SEP] tennis [SEP] volleyball, soccer, tennis etc.",0
Perl [SEP] PHP [SEP] I find Perl to be easier than PHP.,2
Windows 8 [SEP] Windows XP [SEP] Sorry but if you claim you are an IT tech and you can't figure out how to make Windows 8 work better for you than windows 7 or Windows XP then I do believe you are just a self proclaimed IT tech.,0
"sausage [SEP] bread [SEP] Note: I think it's better to put the cooked and drained sausage on top of the bread, then pour the egg and milk mixture over.",0
baseball [SEP] golf [SEP] To me baseball is better than golf.,2
"Python [SEP] JavaScript [SEP] Software skills: has superior technical skills in one or more software and coding programs, to include Python and JavaScript",0
"Honda [SEP] Nissan [SEP] Toyota, Honda, Nissan Announce Air Bag Recall",0
"Audi [SEP] Mercedes-Benz [SEP] The S60 is fun to drive, and a good long-distance tourer, but it's not the same league--for performance or handling--as competitors like the Audi A4 , BMW 3-Series, or the more luxurious and solid Mercedes-Benz C-Class.",0
"USB [SEP] Ethernet [SEP] Its configuration is decent, but it does lack niceties such as USB 3.0 and Gigabit Ethernet.",0
"PHP [SEP] Python [SEP] PHP is optimized for web programming, so it might be faster than Python.",2
"Windows XP [SEP] Windows 8 [SEP] I've used quite a few netbooks that had smaller screens--both in terms of screen size and resolution--and they were quite usable, despite running old operating systems such as Windows XP and Windows 7. Like Windows 8 or hate it, the new touch-powered user interface will mean that 10.6 inches of screen real estate on the Surface Pro will be a lot easier to use than an earlier version of Windows.",0
"Nike [SEP] Adidas [SEP] On the topic of speedhooks vs. eyelets, I must say Alden uses terrible hardware and also has worse finishing (on the hardware) than any other pair of shoes I own - this includes Nike, Adidas, and department store brand dress shoes.",0
"virginia [SEP] georgia [SEP] Prospects were never better in virginia, as well as ia georgia and Mississippi.",0
"Ford [SEP] BMW [SEP] Sponsors of Car Classic 2013 included the Ford Motor Company Fund, Jaguar, Land Rover, New Century BMW, RTT USA and Solid Concepts, with in-kind support provided by media partners including L.A. Weekly , Los Angeles Times , KCRW and Los Angeles magazine .",0
carolina [SEP] georgia [SEP] A loss to E. carolina or georgia will make us A LOT worse!,0
Haskell [SEP] Python [SEP] In the same ballpark are Haskell (and maybe in the future Python) iff their compilers generate better structures because the task is better formally defined.,0
"USB [SEP] Ethernet [SEP] Configure-to-order options and accessories include faster processors, 4GB of memory, MacBook Air SuperDrive® and a USB Ethernet Adapter.",0
"Renault [SEP] Ferrari [SEP] McLaren (1980), Renault, Ferrari.",0
steak [SEP] sandwich [SEP] My thought was well what would be better than a nice steak sandwich for lunch?,0
Leica [SEP] Nikon [SEP] the Leica is at least 2X better than the Nikon,2
"skiing [SEP] swimming [SEP] Unlike in sports such as bicycling, skiing, even swimming, technology can't help you run faster.",0
"Mercedes-Benz [SEP] Audi [SEP] Anyway, for the (hopefully superior) DS edition, we'll be able to get behind the wheel of officially licensed GT cars such as the Corvette Z06, Mercedes-Benz SLK, and Audi A4 Touring Car, and subsequently bounce from barrier to barrier around courses set all over Europe.",0
"Apple TV [SEP] iOS [SEP] Did you update your Apple TV to iOS 4.2 (yeah, it says 4.1 sometimes, 4.2 others, let's consider it both) this week only to find you still had HDCP (high definition copy protection) problems, or worse, only to find you now had HDCP problems, maybe with Netflix in specific?",0
"Renault [SEP] Nissan [SEP] In some, but not all of those locations, Better Place is cooperating with the Renault-Nissan Alliance.",0
"virginia [SEP] california [SEP] But the labor group's grass-roots organizing prevented ""even worse"" results in states like Nevada, West virginia and california, he added.",0
"facebook [SEP] amazon [SEP] Generally, mobile versions of websites like facebook, YouTube, amazon, etc. loads very faster than their desktop-versions.",0
PHP [SEP] JavaScript [SEP] - AJAX / PHP / JavaScript / XML etc. - the more you know the better!,0
SQLite [SEP] MySQL [SEP] · Solid data logging to monitor the children's progress; locally (SQLite) or over network (MySQL or any other db supported by SQLAlchemy).,0
"michigan [SEP] georgia [SEP] The numbers were even worse in the five other states: 68% in Wisconsin, 69% in Pennsylvania, 71% in michigan, 77% in Iowa and 78% in georgia.",0
Nissan [SEP] Renault [SEP] Nissan and Renault are expected to continue collaborating with Better Place to supply the EVs and batteries.,0
"bread [SEP] sausage [SEP] Of course, 'twas a super-fancy salami sandwich, on nice chewy bread with pungent, naturally oily salsiccia con finocchio (fennel sausage), fresh ricotta, chunky tomato marmalade, basil, & what must be the first decent tomatoes of the season.",0
"Python [SEP] PHP [SEP] Hell, even a Python/Psyco combo would be infinitely better in that area than PHP.",2
JavaScript [SEP] PHP [SEP] Similarly if you are talking client side processing JavaScript is much faster since PHP doesn't run at all.,2
"Oracle [SEP] PostgreSQL [SEP] Oracle 12c, PostgreSQL 9.2, VoltDB and others support JSON - often with performance benchmarks superior to ""native"" JSON NoSQL stores.",0
Java [SEP] Python [SEP] The advantage of Java over Python for scientific computing is faster for,2
"Google [SEP] Intel [SEP] Heck, just have a Twitter or  Google News keyword of ""Metasploit"" and you'll get some pretty decent Intel on what the world is looking at.",0
"iOS [SEP] Apple TV [SEP] Future iPhones, iPads, Mac & iOS Software -- ALL those Upgrades will keep adding to Apple's fire for YEARS to come, as the world transitions to a more Mobile Future, away from the mostly Windows!!! Apple TV, iTV, iPanel, or whatever Apple calls their Next Big Thing will be another Game Changer, which will get better with time!!!",0
"IBM [SEP] Dell [SEP] El REg How is Isilon's scale-out NAS product better than competing products from HP (IBRIX), IBM (SONAS), BlueArc, and Dell (Exanet and DSFS)?",0
"Ruby [SEP] Java [SEP] languages (PHP, Python, Ruby, Java, etc.).",0
"Perl [SEP] PHP [SEP] Far easier to use than JavaScript, Perl, PHP, robots.txt",0
timber [SEP] stone [SEP] Specialising in all types of materials from solid timber to marble and stone.,0
truck [SEP] bus [SEP] It's even worse for truck and bus drivers.,0
Ruby [SEP] Java [SEP] Like Ruby but Java like.,0
"Perl [SEP] Java [SEP] In these cases, Perl is the better tool than Java and having this skillset is a good thing.",2
"Renault [SEP] Nissan [SEP] Renault is set to fare better, as its alliance with Nissan Motor Co. (7201) gives it a stronger presence in growing markets outside Europe.",0
"ps2 [SEP] gamecube [SEP] Similarly, the ps2 fared better in the marketplace than the technically superior Xbox and gamecube (which was primarily hampered by storage space issues like the N64 before it).",2
hockey [SEP] lacrosse [SEP] Also I do slow-mo for hockey/lacrosse videos and final results are much better with 60p.,0
"Apple [SEP] IBM [SEP] It's just Apple trying to get better terms/service from IBM (think Dell's ""talks"" with AMD)",0
"Intel [SEP] Sony [SEP] Intel, Sony and Cisco had better luck with their celebrity picks.",0
"Honda [SEP] Nissan [SEP] Honda, Nissan, Hyundai)?",0
wood [SEP] cement [SEP] wood or cement?,0
"concrete [SEP] plastic [SEP] The chemical reaction, which causes concrete to go from the liquid or plastic state to a solid state, requires water.",0
"Java [SEP] Smalltalk [SEP] Evaluate C#, Java, Smalltalk, Lisp, and heck, even Dylan.",0
Windows XP [SEP] Windows 8 [SEP] ur kidding right ?? i use core i5 and 4gb ram with this graphics 45 fps no less than that number iam sure i can i make it (and any game) hit 120 fps simply doing 1 thing which is installing the ugly Windows XP sp3 (it dont even compare to Windows 8 beauty) but its about 3 times faster,1
"PHP [SEP] Ruby [SEP] Of course, for better AND worse, PHP is not Ruby, but the principles of both framework looks rather similar.",0
Windows XP [SEP] Windows 98 [SEP] PC: IBM Compatible PC with Pentium processor or faster CD/DVD-ROM drive for software installation At least 50MB hard disk space At least 64MB of RAM Available USB port Operating System(s): Windows 2003 Windows XP Windows Me Windows 2000 Windows 98,0
"Windows 8 [SEP] Windows 7 [SEP] To my surprised now Windows 8 is very easy to use, easier than Windows 7 itself.",2
Google [SEP] Apple [SEP] Google better at FOSS than Apple?,2
"IBM [SEP] Dell [SEP] In the Linux market, IBM, HP, and Dell are seen as better positioned than late-to-the-game Sun.",0
Nokia [SEP] Motorola [SEP] Mobile Nokia 15           Motorola 6           HTC 10,2
wii [SEP] ps2 [SEP] I think the wii version is actually better than the ps2 version.,2
"psp [SEP] ds [SEP] psp, ds .",0
"football [SEP] baseball [SEP] Lake Superior State Athletics - football, Basketball, & baseball Apparel",0
Microsoft [SEP] Intel [SEP] Partnerships with Microsoft & Intel make building your new system easier than ever.,0
Perl [SEP] Python [SEP] Perl/Python/php/ java /C/C++ etc)Solid understanding of software engineering practices/patterns/architectureFamiliarity...,0
Oracle [SEP] MySQL [SEP] Oracle vs. MySQL,0
plywood [SEP] steel [SEP] A faster speed of cut will rip through plywood and cut more steel to help you save time on projects.,0
coffee [SEP] beer [SEP] The coffee really improved a mediocre base beer.,2
"Ford [SEP] Honda [SEP] And with rumors of even more manufacturers becoming interested, with names like Ferrari, Ford, Mazda, even McLaren and Honda... it can only get better.",0
"Motorola [SEP] Samsung [SEP] These include Motorola, Samsung and Nokia .",0
Java [SEP] Smalltalk [SEP] I want it to become a way to interface to Java easily and the Smalltalk way.,0
"beer [SEP] tea [SEP] Hops is also used in beer, which tastes better than the tea.",2
"Samsung [SEP] Toshiba [SEP] The Samsung LN22A450 produces a well-contrasted picture for its size, yet I kept coming back to the Toshiba 22AV500U as a superior small-screen choice, as it features better color quality and an additional HDMI port.",1
minivan [SEP] suv [SEP] minivan Sedan suv,0
Scala [SEP] Java [SEP] Some Scala standard library classes are slower than their Java counterparts e.g.,1
"football [SEP] baseball [SEP] Isola says he was a ""hell of a football player"" but a lousy baseball player.",2
"OpenGL [SEP] Direct3D [SEP] Yeah, there's a lot of idiots here who still think OpenGL is better than Direct3D.",1
"skiing [SEP] fishing [SEP] Achilles SG Sportboats bring performance and practicality together for better water skiing, diving, fishing, or all-around sport-boating pleasure!",0
gamecube [SEP] playstation [SEP] Nintendo gamecube 37. playstation 2 38.,0
"Smalltalk [SEP] Java [SEP] This ""management briefing"" compares C++, Smalltalk and Java.",0
"mit [SEP] stanford [SEP] The 6dot Braille Labelmaker is cheaper and easier to use than other label makers, according to the students from mit, the University of Toronto, and stanford University.",0
"Siemens [SEP] Nokia [SEP] General Comments I think that Siemens phones are much better than many others famous manufacturers' like Nokia, Motorola, e.t.c.",2
"Lisp [SEP] Python [SEP] There are better programming languages than Java (pick a dynamic language: Common Lisp, Ruby, Smalltalk, Python Scheme, etc.) but there are three things that keep me focused on Java:",0
Bluetooth [SEP] Ethernet [SEP] Little USB light USB Bluetooth adapter iSight Kensington mouse Mouse pad w/ wrist padding Coolpad to put my powerbook on so that it can breath a little better A couple powerbook batteries All the wires needed to mirror on a TV Ethernet wire AC adapter phone cord Digital voice recorder iPod w/ iTrip,0
"wii [SEP] psp [SEP] The PS3 version is 10 times better than the wii, psp, and the PS2 versions.",0
"Ruby [SEP] PHP [SEP] This seems to be the real weakness of RoR; Ruby in itself seems OK performance-wise, slower than PHP for example but not catastrophically so.",1
"Audi [SEP] Lexus [SEP] Convenience Due to the larger tank size and better fuel economy of the Audi Q7, you will definitely be making fewer stops at the gas station than with the Lexus RX 450h.",2
"california [SEP] carolina [SEP] The Better Business Bureau in the states of: Arizona, california, Florida, Georgia, Nevada, South carolina, Texas and many other states.",0
"beer [SEP] soda [SEP] Fill your cooler with beer, soda and juice galore-but don't forget the water bottles!",0
Ruby [SEP] Java [SEP] Kwalify Users' Guide (for Ruby and Java),0
Bluetooth [SEP] USB [SEP] The Bluetooth is convenient but the sound quality is so much better with the USB.,1
pasta [SEP] soup [SEP] There are no better memories than making a pasta primavera or a soup from veggies you grew yourself.,0
"AMD [SEP] Samsung [SEP] The HSA Foundation (Heterogeneous System Architecture Foundation) is a not-for-profit industry standards body founded by companies such as AMD, ARM Samsung and Texas Instruments and focused on making it dramatically easier to program heterogeneous computing devices such as GPUs.",0
"golf [SEP] tennis [SEP] Wow, better than new golf clubs or even tennis balls!",0
"Honda [SEP] Ford [SEP] From an internal vision point of view, it's better than the Astra Sport Hatch, the Honda Civic and the Ford Focus.",0
AWK [SEP] Sed [SEP] It runs more than 3 times faster than AWK solution presented above and about 60 times faster that GNU Sed! Really impressing.,2
Windows 8 [SEP] Windows 7 [SEP] Lets shift focuses to what Windows 8 does better than Windows 7.,2
Scala [SEP] Java [SEP] JS is better than GWT? Scala is better for Java in the enterprise?,0
"SQLite [SEP] MySQL [SEP] In my experience, SQLite is slower than MySQL, despite being in-process.",1
Apple [SEP] IBM [SEP] Apple has always had a superior product to the IBM PC.,2
"USB [SEP] Ethernet [SEP] To make connections easier, the Blu-Ray Disc player has HDMI 1.3 and USB and Ethernet ports.",0
"Toyota [SEP] BMW [SEP] Although buying a Kentucky-built Toyota is better than buying a Stuttgart-built BMW, it's still a long way from supporting your own country.",2
"timber [SEP] forest [SEP] Poorly managed recreation and timber harvest pollutes waterways on the Mark Twain National forest that the Ozark hellbender needs to survive,"" said the Center's Collette Adkins Giese.",0
harvard [SEP] cornell [SEP] The harvard game also demonstrated just how rock solid the cornell defense is.,0
Python [SEP] PHP [SEP] I'm considering learning Python and more PHP if any of those would be better.,0
pistol [SEP] knife [SEP] Just switch to a pistol or knife secondary and you can reach certain choke points faster+ have range advantage with a AR.,0
"Nikon [SEP] Sigma [SEP] I love the 28mm and 50mm Nikon E lenses, and also use a old Tamron 80-200 (could be better), and a great Sigma 28-105.",0
"Toshiba [SEP] Samsung [SEP] If you've been wondering why your Toshiba SSD benchmarks slower than someone else's Samsung, check to see what sort of data the benchmark tool is writing to the drive.",1
"Perl [SEP] Ruby [SEP] It's much easier to use than its Perl, Python or Ruby friends because it doesn't require SVN language bindings, which are close to impossible to compile from scratch.",0
"Ferrari [SEP] Renault [SEP] Equipment: Your teams Flag (Ferrari, Mc Laren, Renault, BMW etc..).",0
"Honda [SEP] BMW [SEP] Yamaha and Honda dominate the top three, but BMW also have a solid footing in the top 10, with four models featured, including the S1000RR, with over 1,000 unit sales.",0
Scala [SEP] Java [SEP] I like Scala and i think it is much easier to understand and read than Java.,2
Windows XP [SEP] Windows Vista [SEP] Upgrades are being made harder now that you have OEMs like Dell still selling Windows XP and making Windows Vista available as an upgrade option.,0
Toyota [SEP] Honda [SEP] Why not Toyota or Honda.,0
"JavaScript [SEP] Python [SEP] Now, TO BE CLEAR (shouting again, because I know you're going to flame me if I don't!) it's NOT that I'd recommend programming in JavaScript in anger, it's more that if you jump from JS to Java, C#, Python, or PHP, you're going to find it an easier jump.",0
Kingston [SEP] Google [SEP] Kingston 3D map in Google Earth,0
"mit [SEP] stanford [SEP] I don't know about engineering, but I'd be surprised if IIT produces better entrepreneurs than mit and stanford.",0
"milk [SEP] soda [SEP] Traditional medicine also recommends drinking milk, weak tea, or baking-soda solution to make it go away faster.",0
"Sony [SEP] Google [SEP] That Samsung, LG, Sony, etc don't have the source code, just means that Google are able to release faster, surely?",1
wii [SEP] ps2 [SEP] RE4 controlled better on wii than ps2 or GC but not good enough.,2
fishing [SEP] swimming [SEP] fishing and swimming available.,0
"Perl [SEP] JavaScript [SEP] If you can comfortably program something semi-decent in C/C++, Perl and JavaScript, then you've got the skills to learn any modern programming language within two days.",0
"california [SEP] carolina [SEP] Among the top performances included a superior effort by the loaded Southern california All Stars , and a nice showing by the North carolina Gaters .",0
"Samsung [SEP] Nokia [SEP] Chances are, if one can do it better, he's probably at Apple, Samsung, HTC or LG, all of whom have gotten things done faster and better than Nokia.",2
IBM [SEP] Intel [SEP] IBM will ALWAYS be a better chipmaker than Intel.,2
Perl [SEP] Ruby [SEP] Compared to Perl - Ruby is much much nicer.,1
"Smalltalk [SEP] Java [SEP] It has been implemented using C++, Smalltalk, Java and SOM.",0
"iOS [SEP] Apple TV [SEP] It is a professional MXF tool helping preserve or mix MXF multi tracks and channels, convert MXF footages to other formats for better editing in FCP, FCE, iMovie, Sony Vegas, Adobe Premiere, etc, or playing on Mac/iOS/Android/Windows devices like iMac, iPhone, iPad, Apple TV, iPod, Samsung Galaxy Tab, Microsoft Surface, etc.",0
Perl [SEP] PHP [SEP] It can be very easy to change Perl code quickly but slower in PHP.,2
ps2 [SEP] ps3 [SEP] I've seen some decent double disc trays with ps2/ps3 like hubs.,0
Microsoft [SEP] Google [SEP] And yet Microsoft somehow comes off worse than Google for it...,1
"Objective-C [SEP] Java [SEP] Anyway, Objective-C is easier once you know it, and the freedom from Java packages is a blessing I cannot over-emphasize.",0
cider [SEP] beer [SEP] IMO making a terrific hard cider is WAY harder than making great beer.,1
"Java [SEP] Smalltalk [SEP] I guess for Java, Cincom Smalltalk would use the JNI.",0
google [SEP] amazon [SEP] google and amazon are better at this than you...,0
Nike [SEP] Adidas [SEP] Many people will argue that Nike cleats are the best and others will just say Adidas or Pumas are better.,0
stone [SEP] concrete [SEP] Natural stone pool coping has a superior advantage over pre-cast concrete and tile.,2
Toshiba [SEP] Samsung [SEP] I've also seen better from sub-£100 upscalers from the likes of Toshiba and Samsung.,0
"Windows 8 [SEP] Windows 7 [SEP] Windows 8 boots faster than Windows 7, but so what?",2
"Google [SEP] Intel [SEP] Trainer's top list of ETFs earn their rating by allocating to attractive-or-better-rated stocks such as Apple ( AAPL ), Google ( GOOG ), Intel ( INTC ) and SanDisk ( SNDK ).",0
"Intel [SEP] IBM [SEP] The vaunted Intel roadmap is nice, but no nicer than the AMD roadmap, and nothing that IBM couldn't have matched.",1
"birthday [SEP] holiday [SEP] Throwing that birthday, holiday, or other party will be much easier, and less messy, with a Avenger coaster from Zazzle.",0
"wood [SEP] cement [SEP] wood, cement, stone, bricks, nails.",0
"Ruby [SEP] Perl [SEP] My goal is to progress into the more powerful languages ( C, C#, C++, Ruby, Perl,) and better understand the ones I know.",0
Ruby [SEP] Java [SEP] +%%EXAMPLESDIR%%/%%PORTVERSION%%/Ruby/Java/example.i,0
"baseball [SEP] basketball [SEP] Golf, baseball, basketball, Swimming, are solid.",0
Ferrari [SEP] BMW [SEP] Mercedes/Ferrari/BMW/etc are not high-theft-risk cars.,0
"Nissan [SEP] Toyota [SEP] The Nissan was better, it never left me walking like the Toyota did on several occasions.",2
"Leica [SEP] Nikon [SEP] Leica makes a very nice low end (about $20K)instrument that compares well in terms of image quality, etc, to all of the others (Nikon is poorer, Olympus is about the same).",2
Honda [SEP] Nissan [SEP] The list also includes Honda and Nissan.,0
bread [SEP] pasta [SEP] Maybe about wheat/grains/bread - the harder sell to my children especially pasta to my little Italian daughter.,0
"Nokia [SEP] Samsung [SEP] Nokia CBD is better than this overrated, defective Super Amoled by Samsung.",2
"Java [SEP] PHP [SEP] So.. I'm not saying Java can't do it (because it can), but it IS easier to do it in PHP.",1
"NetBeans [SEP] Eclipse [SEP] Obviously, NetBeans is toast because of Eclipse.",2
"USB [SEP] Ethernet [SEP] Connectivity is decent with two USB 3.0 ports, an RJ-45 Ethernet port, and a mini HDMI port.",0
"fishing [SEP] swimming [SEP] fishing, swimming, boating, waterskiing.",0
"Java [SEP] Scala [SEP] IMO, there are much better languages than Java: Scala, Haskell, Ocaml, Rust, etc.",0
"bread [SEP] sausage [SEP] While Golden Grill also gets the importance of serving great bread, my sandwich was only mediocre, with the sausage patty coming off as bland, an overbalance of the peppers and onions and the mozzarella virtually failing to register.",0
"harvard [SEP] stanford [SEP] Remember that most people DON'T go to harvard or stanford, and they still lead decent lives.",0
Java [SEP] Lisp [SEP] After 15+ years of C++/Java and OO we would still all be better off programming in Lisp.,1
"Java [SEP] Python [SEP] There are other cross-platforms languages around, that are easier to learn and arguably more productive, like Java or Python.",0
milk [SEP] soda [SEP] Water or low-fat milk are obviously better choices than soda or other sugary drinks.,2
"Pepsi [SEP] Coca-Cola [SEP] I walked over to look inside, and yes, they were selling Pepsi out of their Coca-Cola cooler.",0
"CUDA [SEP] OpenCL [SEP] CUDA has much better support than AMD or OpenCL, try to get AMD to help you to debug your code, and you will see what happen!",2
Java [SEP] Groovy [SEP] It is very easy for the developers to utilize Java library in an easier and faster way with Groovy.,0
Ruby [SEP] Java [SEP] Ruby vs Java,0
Ford [SEP] Chrysler [SEP] GM and Ford/Chrysler are totally different.,0
"PHP [SEP] Python [SEP] Working with PHP, Python, and Scheme outside of work makes it even harder.",0
"carolina [SEP] california [SEP] Only Baylor, North carolina and california signed better classes than the Gamecocks, according to the organization's rankings.",0
"Windows XP [SEP] Windows Vista [SEP] Windows 7 being the latest stable version of the Microsoft Windows Operating Systems, is definitely better than Windows XP and Windows Vista.",0
Eclipse [SEP] NetBeans [SEP] comparison to Eclipse/NetBeans.,0
"Java [SEP] Ruby [SEP] Just use Java, Oracle, PHP, Ruby, etc...",0
"Ruby [SEP] Perl [SEP] :-) Languages like lisp, scheme, Ruby, python, smalltalk, etc., and even awk, Perl, etc., are easier if the goal of the learner is to get something practical done.",0
"Python [SEP] JavaScript [SEP] Replace it with a real programming language such as Python, which is vastly superior to JavaScript.",2
"Hewlett-Packard [SEP] Dell [SEP] Sources report that Intel original equipment manufacturers such as Hewlett-Packard, Dell, and IBM will probably introduce new laptops that run the faster Pentium 4-M chip at TechXNY.",0
"Bluetooth [SEP] USB [SEP] iPod, Bluetooth, USB, MP3 CD and some halfway decent speakers.",0
BMW [SEP] Honda [SEP] Riding in this BMW with this music feels a thousand times better than riding in my messy Honda listening to punk CDs.,2
Toyota [SEP] Honda [SEP] Toyota and Honda entry levels.,0
"OpenCL [SEP] CUDA [SEP] I am pretty sure that NVIDIA has implemented a slow down on OpenCL to make CUDA looks stronger because, as you said as well, "" it's the compiler (and the programmer) which makes it faster.",0
"pistol [SEP] knife [SEP] I'm better with a pistol or my knife.""",0
