id	asp	question	clean	pos	lemma
23040	0	What is the difference between data analyticis and data mining?	what is the difference between data analyticis and data mining	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'NN', 'CC', 'NN', 'NN']	['what', 'be', 'the', 'difference', 'between', 'data', 'analyticis', 'and', 'data', 'mining']
21690	0	What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Penang?	what was the significance of the battle of somme and how did this battle compare and contrast to the battle of penang	['WP', 'VBD', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'CC', 'WRB', 'VBD', 'DT', 'NN', 'VB', 'CC', 'VB', 'IN', 'DT', 'NN', 'IN', 'NNP']	['what', 'be', 'the', 'significance', 'of', 'the', 'battle', 'of', 'somme', 'and', 'how', 'do', 'this', 'battle', 'compare', 'and', 'contrast', 'to', 'the', 'battle', 'of', 'penang']
22012	0	Are Abraham and Brahma same?	are abraham and brahma same	['VBP', 'NNP', 'CC', 'NNP', 'JJ']	['be', 'abraham', 'and', 'brahma', 'same']
23169	0	What is the easiest way to earn money from online?	what is the easiest way to earn money from online	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'TO', 'VB', 'NN', 'IN', 'NNP']	['what', 'be', 'the', 'easiest', 'way', 'to', 'earn', 'money', 'from', 'online']
21765	1	Do employees at B&G Foods have a good work-life balance? Does this differ across positions and departments?	do employees at b g foods have a good work life balance does this differ across positions and departments	['VBP', 'NNS', 'IN', 'NN', 'NN', 'NNS', 'VB', 'DT', 'JJ', 'NN', 'NN', 'NN', 'VBZ', 'DT', 'VB', 'IN', 'NNS', 'CC', 'NNS']	['do', 'employee', 'at', 'b', 'g', 'food', 'have', 'a', 'good', 'work', 'life', 'balance', 'do', 'this', 'differ', 'across', 'position', 'and', 'department']
22757	0	Which are the best colleges in India for IIT astronomy?	which are the best colleges in india for iit astronomy	['WDT', 'VBP', 'DT', 'JJS', 'NNS', 'IN', 'NNP', 'IN', 'NN', 'NN']	['which', 'be', 'the', 'best', 'college', 'in', 'india', 'for', 'iit', 'astronomy']
7052	0	which party is the majority party in the senate in nigeria	which party is the majority party in the senate in nigeria	['WDT', 'NN', 'VBZ', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNP']	['which', 'party', 'be', 'the', 'majority', 'party', 'in', 'the', 'senate', 'in', 'nigeria']
23261	0	What are the main differences between a function, a method, a procedure and a subroutine?	what are the main differences between a function a method a procedure and a subroutine	['WP', 'VBP', 'DT', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'DT', 'NN', 'DT', 'NN', 'CC', 'DT', 'NN']	['what', 'be', 'the', 'main', 'difference', 'between', 'a', 'function', 'a', 'method', 'a', 'procedure', 'and', 'a', 'subroutine']
23168	1	What are the easiest things to do while being abroad to make money?	what are the easiest things to do while being abroad to make money	['WP', 'VBP', 'DT', 'JJS', 'NNS', 'TO', 'VB', 'IN', 'VBG', 'RB', 'TO', 'VB', 'NN']	['what', 'be', 'the', 'easiest', 'thing', 'to', 'do', 'while', 'be', 'abroad', 'to', 'make', 'money']
11613	1	what is the best way to clean paint brushes	what is the best way to clean paint brushes	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'TO', 'VB', 'NN', 'NNS']	['what', 'be', 'the', 'best', 'way', 'to', 'clean', 'paint', 'brush']
25944	1	How do the products differ when ethyl bromide reacts separately with aqueous KOH and alchoholic KOH? Name the product	how do the products differ when ethyl bromide reacts separately with aqueous koh and alchoholic koh name the product	['WRB', 'VBP', 'DT', 'NNS', 'VB', 'WRB', 'NN', 'NN', 'VBZ', 'RB', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'NN', 'VB', 'DT', 'NN']	['how', 'do', 'the', 'product', 'differ', 'when', 'ethyl', 'bromide', 'react', 'separately', 'with', 'aqueous', 'koh', 'and', 'alchoholic', 'koh', 'name', 'the', 'product']
23405	1	Who is currently the most famous person alive? Who is in the top 10?	who is currently the most famous person alive who is in the top 10	['WP', 'VBZ', 'RB', 'DT', 'RBS', 'JJ', 'NN', 'JJ', 'WP', 'VBZ', 'IN', 'DT', 'JJ', 'CD']	['who', 'be', 'currently', 'the', 'most', 'famous', 'person', 'alive', 'who', 'be', 'in', 'the', 'top', '10']
7367	1	what is the most popular food in romania	what is the most popular food in romania	['WP', 'VBZ', 'DT', 'RBS', 'JJ', 'NN', 'IN', 'NNP']	['what', 'be', 'the', 'most', 'popular', 'food', 'in', 'romania']
22338	0	What are the best security plugins?	what are the best security plugins	['WP', 'VBP', 'DT', 'JJS', 'NN', 'NNS']	['what', 'be', 'the', 'best', 'security', 'plugin']
21441	1	What is a good book to start learning about logic?	what is a good book to start learning about logic	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB', 'VBG', 'IN', 'NN']	['what', 'be', 'a', 'good', 'book', 'to', 'start', 'learn', 'about', 'logic']
22236	1	What are the best books for the JEE (Mains)?	what are the best books for the jee mains	['WP', 'VBP', 'DT', 'JJS', 'NNS', 'IN', 'DT', 'NN', 'NNS']	['what', 'be', 'the', 'best', 'book', 'for', 'the', 'jee', 'main']
23001	0	What are the difference between spores and gametes?	what are the difference between spores and gametes	['WP', 'VBP', 'DT', 'NN', 'IN', 'NNS', 'CC', 'NNS']	['what', 'be', 'the', 'difference', 'between', 'spore', 'and', 'gamete']
22147	0	Why do you think you are superior to most of the people around you?	why do you think you are superior to most of the people around you	['WRB', 'VBP', 'PRP', 'VB', 'PRP', 'VBP', 'JJ', 'IN', 'JJS', 'IN', 'DT', 'NNS', 'IN', 'PRP']	['why', 'do', 'you', 'think', 'you', 'be', 'superior', 'to', 'most', 'of', 'the', 'people', 'around', 'you']
22334	0	What are the best scenes in movie history?	what are the best scenes in movie history	['WP', 'VBP', 'DT', 'JJS', 'NNS', 'IN', 'NN', 'NN']	['what', 'be', 'the', 'best', 'scene', 'in', 'movie', 'history']
1142	0	why is the length of a lunar day different from the length of a solar day	why is the length of a lunar day different from the length of a solar day	['WRB', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'JJ', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN']	['why', 'be', 'the', 'length', 'of', 'a', 'lunar', 'day', 'different', 'from', 'the', 'length', 'of', 'a', 'solar', 'day']
22854	0	Which is the best LMS for pharma?	which is the best lms for pharma	['WDT', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'NN']	['which', 'be', 'the', 'best', 'lm', 'for', 'pharma']
21826	1	Do you think that it is easier to learn new subjects by yourself, or do you think it is better to have a teacher?	do you think that it is easier to learn new subjects by yourself or do you think it is better to have a teacher	['VBP', 'PRP', 'VB', 'IN', 'PRP', 'VBZ', 'JJR', 'TO', 'VB', 'JJ', 'NNS', 'IN', 'PRP', 'CC', 'VBP', 'PRP', 'VB', 'PRP', 'VBZ', 'JJR', 'TO', 'VB', 'DT', 'NN']	['do', 'you', 'think', 'that', 'it', 'be', 'easier', 'to', 'learn', 'new', 'subject', 'by', 'yourself', 'or', 'do', 'you', 'think', 'it', 'be', 'better', 'to', 'have', 'a', 'teacher']
19241	1	what sea creature has the largest brain octopus	what sea creature has the largest brain octopus	['WDT', 'NN', 'NN', 'VBZ', 'DT', 'JJS', 'NN', 'NN']	['what', 'sea', 'creature', 'have', 'the', 'largest', 'brain', 'octopus']
23554	1	Who will be the winner of the Sankranti in 2017?	who will be the winner of the sankranti in 2017	['WP', 'MD', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'CD']	['who', 'will', 'be', 'the', 'winner', 'of', 'the', 'sankranti', 'in', '2017']
23275	1	What are some of the most beautiful natural phenomena?	what are some of the most beautiful natural phenomena	['WP', 'VBP', 'DT', 'IN', 'DT', 'RBS', 'JJ', 'JJ', 'NNS']	['what', 'be', 'some', 'of', 'the', 'most', 'beautiful', 'natural', 'phenomena']
23412	1	Who is the most handsome man on Game of Thrones?	who is the most handsome man on game of thrones	['WP', 'VBZ', 'DT', 'RBS', 'JJ', 'NN', 'IN', 'NN', 'IN', 'NNS']	['who', 'be', 'the', 'most', 'handsome', 'man', 'on', 'game', 'of', 'throne']
23124	0	What's the difference between fimo clay and polymer clay?	what s the difference between fimo clay and polymer clay	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'NN', 'CC', 'NN', 'NN']	['what', 'be', 'the', 'difference', 'between', 'fimo', 'clay', 'and', 'polymer', 'clay']
33294	0	Apprenticeship vs. imitation learning - what is the difference?	apprenticeship vs imitation learning what is the difference	['NN', 'IN', 'NN', 'VBG', 'WP', 'VBZ', 'DT', 'NN']	['apprenticeship', 'versus', 'imitation', 'learn', 'what', 'be', 'the', 'difference']
22344	0	What are the best small classes for freshmen at Western Illinois University?	what are the best small classes for freshmen at western illinois university	['WP', 'VBP', 'DT', 'JJS', 'JJ', 'NNS', 'IN', 'NNS', 'IN', 'JJ', 'NNP', 'NN']	['what', 'be', 'the', 'best', 'small', 'class', 'for', 'freshmen', 'at', 'western', 'illinois', 'university']
22638	0	What is the best way to prepare for CA final law and audit?	what is the best way to prepare for ca final law and audit	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'TO', 'VB', 'IN', 'NNP', 'JJ', 'NN', 'CC', 'NN']	['what', 'be', 'the', 'best', 'way', 'to', 'prepare', 'for', 'can', 'final', 'law', 'and', 'audit']
4681	0	who became the first high priest of israel	who became the first high priest of israel	['WP', 'VBD', 'DT', 'JJ', 'JJ', 'NN', 'IN', 'NNP']	['who', 'become', 'the', 'first', 'high', 'priest', 'of', 'israel']
22516	0	What is the best programming language ever and why?	what is the best programming language ever and why	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'NN', 'RB', 'CC', 'WRB']	['what', 'be', 'the', 'best', 'programming', 'language', 'ever', 'and', 'why']
33165	0	Is it better to load up a class with methods or extend member functionality in a local subclass?	is it better to load up a class with methods or extend member functionality in a local subclass	['VBZ', 'PRP', 'JJR', 'TO', 'VB', 'RP', 'DT', 'NN', 'IN', 'NNS', 'CC', 'VB', 'NN', 'NN', 'IN', 'DT', 'JJ', 'NN']	['be', 'it', 'better', 'to', 'load', 'up', 'a', 'class', 'with', 'method', 'or', 'extend', 'member', 'functionality', 'in', 'a', 'local', 'subclass']
19717	1	what are the most common jobs in indiana	what are the most common jobs in indiana	['WP', 'VBP', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'NNP']	['what', 'be', 'the', 'most', 'common', 'job', 'in', 'indiana']
21680	1	How much urjit Patel Suits to RBI as a governor: compare with Raghuram Rajan sir?	how much urjit patel suits to rbi as a governor compare with raghuram rajan sir	['WRB', 'JJ', 'NN', 'NN', 'VBZ', 'IN', 'NN', 'IN', 'DT', 'NN', 'VB', 'IN', 'NNP', 'NNP', 'NNP']	['how', 'much', 'urjit', 'patel', 'suit', 'to', 'rbi', 'as', 'a', 'governor', 'compare', 'with', 'raghuram', 'rajan', 'sir']
8442	1	who has the most record sales of all time	who has the most record sales of all time	['WP', 'VBZ', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'DT', 'NN']	['who', 'have', 'the', 'most', 'record', 'sale', 'of', 'all', 'time']
6972	0	what was the main purpose of the house committee on un-american activities (huac)	what was the main purpose of the house committee on un american activities huac	['WP', 'VBD', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'NN', 'IN', 'JJ', 'JJ', 'NNS', 'NN']	['what', 'be', 'the', 'main', 'purpose', 'of', 'the', 'house', 'committee', 'on', 'un', 'american', 'activity', 'huac']
23238	0	What's the kindest thing a stranger has done for you?	what s the kindest thing a stranger has done for you	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'DT', 'NN', 'VBZ', 'VBN', 'IN', 'PRP']	['what', 'be', 'the', 'kindest', 'thing', 'a', 'stranger', 'have', 'do', 'for', 'you']
21574	1	Which place is best to work Mumbai or delhi?	which place is best to work mumbai or delhi	['WDT', 'NN', 'VBZ', 'JJS', 'TO', 'VB', 'NNP', 'CC', 'NNP']	['which', 'place', 'be', 'best', 'to', 'work', 'mumbai', 'or', 'delhi']
22348	1	What are the best strategies for preparing for the GMAT?	what are the best strategies for preparing for the gmat	['WP', 'VBP', 'DT', 'JJS', 'NNS', 'IN', 'VBG', 'IN', 'DT', 'NN']	['what', 'be', 'the', 'best', 'strategy', 'for', 'prepare', 'for', 'the', 'gmat']
4052	0	what is the difference between air brakes and hydraulic brakes	what is the difference between air brakes and hydraulic brakes	['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'NNS', 'CC', 'JJ', 'NNS']	['what', 'be', 'the', 'difference', 'between', 'air', 'brake', 'and', 'hydraulic', 'brake']
21748	1	What is GATE? How difficult is it compared to JEE?	what is gate how difficult is it compared to jee	['WP', 'VBZ', 'NN', 'WRB', 'JJ', 'VBZ', 'PRP', 'VBN', 'IN', 'NNP']	['what', 'be', 'gate', 'how', 'difficult', 'be', 'it', 'compare', 'to', 'jee']
22362	1	What are the best tools for augmented reality development?	what are the best tools for augmented reality development	['WP', 'VBP', 'DT', 'JJS', 'NNS', 'IN', 'VBN', 'NN', 'NN']	['what', 'be', 'the', 'best', 'tool', 'for', 'augment', 'reality', 'development']
22142	1	Who are some of the most influential IITians (students/alumni)?	who are some of the most influential iitians students alumni	['WP', 'VBP', 'DT', 'IN', 'DT', 'RBS', 'JJ', 'NNS', 'NNS', 'NNS']	['who', 'be', 'some', 'of', 'the', 'most', 'influential', 'iitian', 'student', 'alumnus']
3886	0	what is the coldest temperature recorded in new york state	what is the coldest temperature recorded in new york state	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'VBN', 'IN', 'JJ', 'NNP', 'NN']	['what', 'be', 'the', 'coldest', 'temperature', 'record', 'in', 'new', 'york', 'state']
22228	0	What are the best books about Churchill?	what are the best books about churchill	['WP', 'VBP', 'DT', 'JJS', 'NNS', 'IN', 'NNP']	['what', 'be', 'the', 'best', 'book', 'about', 'churchill']
7709	1	which team has won the most nba titles	which team has won the most nba titles	['WDT', 'NN', 'VBZ', 'VBN', 'DT', 'RBS', 'NNP', 'NNS']	['which', 'team', 'have', 'win', 'the', 'most', 'nba', 'title']
3009	1	who has the record for most superbowl rings	who has the record for most superbowl rings	['WP', 'VBZ', 'DT', 'NN', 'IN', 'JJS', 'JJ', 'NNS']	['who', 'have', 'the', 'record', 'for', 'most', 'superbowl', 'ring']
22172	0	What is the basic difference between inductor and coil?	what is the basic difference between inductor and coil	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', 'CC', 'NN']	['what', 'be', 'the', 'basic', 'difference', 'between', 'inductor', 'and', 'coil']
4444	1	who holds the record for the farthest home run	who holds the record for the farthest home run	['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'JJS', 'NN', 'NN']	['who', 'hold', 'the', 'record', 'for', 'the', 'farthest', 'home', 'run']
12545	0	What is the difference between private equity fund and venture capital fund exempt reporting adviser	what is the difference between private equity fund and venture capital fund exempt reporting adviser	['WP', 'VBZ', 'DT', 'NN', 'IN', 'JJ', 'NN', 'NN', 'CC', 'NN', 'NN', 'NN', 'JJ', 'NN', 'NN']	['what', 'be', 'the', 'difference', 'between', 'private', 'equity', 'fund', 'and', 'venture', 'capital', 'fund', 'exempt', 'reporting', 'adviser']
23272	1	Is USA the most powerful country of the world?	is usa the most powerful country of the world	['VBZ', 'NNP', 'DT', 'RBS', 'JJ', 'NN', 'IN', 'DT', 'NN']	['be', 'usa', 'the', 'most', 'powerful', 'country', 'of', 'the', 'world']
6721	1	who is the longest serving member of the house in history	who is the longest serving member of the house in history	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'NN', 'IN', 'DT', 'NN', 'IN', 'NN']	['who', 'be', 'the', 'longest', 'serving', 'member', 'of', 'the', 'house', 'in', 'history']
33218	1	Talks vs. poster presentations: Which is better for advertising your research and building research networks?	talks vs poster presentations which is better for advertising your research and building research networks	['VBZ', 'IN', 'NN', 'NNS', 'WDT', 'VBZ', 'JJR', 'IN', 'VBG', 'PRP$', 'NN', 'CC', 'NN', 'NN', 'NNS']	['talk', 'versus', 'poster', 'presentation', 'which', 'be', 'better', 'for', 'advertising', 'you', 'research', 'and', 'building', 'research', 'network']
21693	1	How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Great Victoria Desert?	how cold can the gobi desert get and how do its average temperatures compare to the ones in the great victoria desert	['WRB', 'JJ', 'MD', 'DT', 'NN', 'NN', 'VB', 'CC', 'WRB', 'VB', 'PRP$', 'JJ', 'NNS', 'VB', 'IN', 'DT', 'NNS', 'IN', 'DT', 'JJ', 'NNP', 'NN']	['how', 'cold', 'can', 'the', 'gobi', 'desert', 'get', 'and', 'how', 'do', 'its', 'average', 'temperature', 'compare', 'to', 'the', 'one', 'in', 'the', 'great', 'victoria', 'desert']
12474	0	what is a major difference between eukaryotic dna replication and prokaryotic dna replication?	what is a major difference between eukaryotic dna replication and prokaryotic dna replication	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'NN', 'CC', 'JJ', 'NN', 'NN']	['what', 'be', 'a', 'major', 'difference', 'between', 'eukaryotic', 'dna', 'replication', 'and', 'prokaryotic', 'dna', 'replication']
21563	0	Which is Osho's best quote?	which is osho s best quote	['WDT', 'VBZ', 'NNP', 'POS', 'JJS', 'NN']	"['which', 'be', 'osho', ""'s"", 'best', 'quote']"
19289	0	what is the largest district in sri lanka	what is the largest district in sri lanka	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'NNP', 'NNP']	['what', 'be', 'the', 'largest', 'district', 'in', 'sri', 'lanka']
3065	1	who holds the record for most home runs in major league baseball	who holds the record for most home runs in major league baseball	['WP', 'VBZ', 'DT', 'NN', 'IN', 'JJS', 'NN', 'NNS', 'IN', 'JJ', 'NNP', 'NN']	['who', 'hold', 'the', 'record', 'for', 'most', 'home', 'run', 'in', 'major', 'league', 'baseball']
22595	0	What is the best way to decide my career?	what is the best way to decide my career	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'TO', 'VB', 'PRP$', 'NN']	['what', 'be', 'the', 'best', 'way', 'to', 'decide', 'my', 'career']
23208	0	What are the good programing sites for beginers?	what are the good programing sites for beginers	['WP', 'VBP', 'DT', 'JJ', 'NN', 'NNS', 'IN', 'NNS']	['what', 'be', 'the', 'good', 'programing', 'site', 'for', 'beginer']
22401	0	What are the best websites in online jobs?	what are the best websites in online jobs	['WP', 'VBP', 'DT', 'JJS', 'NNS', 'IN', 'JJ', 'NNS']	['what', 'be', 'the', 'best', 'website', 'in', 'online', 'job']
17601	1	what is the best time of year to cruise the western caribbean?	what is the best time of year to cruise the western caribbean	['WP', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NNP']	['what', 'be', 'the', 'best', 'time', 'of', 'year', 'to', 'cruise', 'the', 'western', 'caribbean']
23360	1	What is the most popular mobile game in America?	what is the most popular mobile game in america	['WP', 'VBZ', 'DT', 'RBS', 'JJ', 'NN', 'NN', 'IN', 'NNP']	['what', 'be', 'the', 'most', 'popular', 'mobile', 'game', 'in', 'america']
4763	1	who invented the first radio and what year	who invented the first radio and what year	['WP', 'VBD', 'DT', 'JJ', 'NN', 'CC', 'WDT', 'NN']	['who', 'invent', 'the', 'first', 'radio', 'and', 'what', 'year']
17631	1	when is the best time to plant grass seed in the northwest?	when is the best time to plant grass seed in the northwest	['WRB', 'VBZ', 'DT', 'JJS', 'NN', 'TO', 'VB', 'NN', 'NN', 'IN', 'DT', 'NN']	['when', 'be', 'the', 'best', 'time', 'to', 'plant', 'grass', 'seed', 'in', 'the', 'northwest']
2738	1	where does most of the wood come from	where does most of the wood come from	['WRB', 'VBZ', 'JJS', 'IN', 'DT', 'NN', 'VB', 'IN']	['where', 'do', 'most', 'of', 'the', 'wood', 'come', 'from']
21768	1	Do employees at S & T Bank have a good work-life balance? Does this differ across positions and departments?	do employees at s t bank have a good work life balance does this differ across positions and departments	['VB', 'NNS', 'IN', 'POS', 'NN', 'NN', 'VB', 'DT', 'JJ', 'NN', 'NN', 'NN', 'VBZ', 'DT', 'VB', 'IN', 'NNS', 'CC', 'NNS']	"['do', 'employee', 'at', ""'s"", 't', 'bank', 'have', 'a', 'good', 'work', 'life', 'balance', 'do', 'this', 'differ', 'across', 'position', 'and', 'department']"
