opinion	question
1	"What is the difference between ""deadlock prevention"" and ""deadlock avoidance"""
1	What is a good ground cover for street frontage instead of lawn?
1	What are some good software companies in Hyderabad that work on very good high-end Java projects in depth?
0	What isan important difference between cpi and the gdp deflator is
1	What are some interesting places to visit in Chennai?
0	what is the difference between electronic and digital
1	I just made a short film. Where are the best places to upload my short film except Youtube?
0	where do most immigrants come from to australia
1	What are the relative advantages of dictionaries versus databases?
0	who is worth the most in the united states
0	What is the most up to date version of internet explorer
1	Which browser is better IE or Firefox?
1	What are the best places to recommend foreigners to visit in Nepal?
0	what is the highest score in a soccer world cup final
1	What is best Misal Pav spot in Swargate Pune area?
1	Is it better to buy a new or used pontoon boat for an all-recreation lake?
1	Which is the best course for IT?
1	Is it better to buy plane tickets early or wait until closer to your departure date?
1	Is a Nevada corporation really that much better than a colorado or utah corporation?
1	What are some of the best answers?
1	What's the best wireless speaker?
0	Which person made a billion in a shortest period of time, and how?
0	who were the major colonial powers involved in caribbean culture
1	When baking, is it better to use a gas or electric oven?
0	who's won the snooker world championship the most
1	Which country is the best to work in? Is it US or Kuwait?
1	As of 2000-2016, what are the top 10 Bollywood movies?
1	What is the difference between Ph. D programs with coursework and those without it?
1	What is better making a separate temporary table or inserting directly to big table?
0	how does the jewish calendar compared to our calendar
1	What keymap do you prefer in ReSharper?
1	yahoo mail or gmail or hotmail? which one you prefer ?
1	Is a MacBook Pro 2015 still worth buying in 2016?
0	which life stage of the honey bee is most commonly fed upon by the varroa mite
1	Would men prefer their partner 10 lbs underweight or overweight, super toned or a less toned?
1	What are the best places to visit in allepy?
0	what is the difference between baptist church and christian church
1	What are the strongest majors in terms of job prospects and what are the weakest majors at Lee University?
1	What is a good plan for a 2-day trip to Kodaikanal?
1	What's better Snowboarding or Skiing?
0	where do most of kenya's population live
1	Should I buy the Xbox 360 or wait for the new PlayStation?
0	who has been to the most world cup finals
0	who has won the most academy awards for best actress
1	What are the best trick for playing chess?
0	where was worst hit by boxing day tsunami
0	How does a spindle motor differ from induction motor?
1	Single travelling in Sep-Oct - which destination: China, Russia, Barcelona + Portugal, or Cuba?
1	What are some of the best sad and romantic punjabi music with heart touching music like adhi adhi raat from bilal saeed and soch?
0	in what way is the soil in the delta of the river ganga different from that of the river godavari
1	Should I get a Mini Cooper or Mini Cooper S?
1	Which Is a Better Way of Obtaining Scales, Gaussian Blur or Down Sampling?
1	How many types of Linux filesystem are there e.g. ext3, ext4? What is the best one?
1	What is the best free porn website?
1	Do recursive algorithms generally perform better than their for-loop counterpart?
1	what are the benefits of school gardens
0	Union Public Service Commission (India): What are some good IAS coaching centers in Mumbai?
1	what's the best meat to make beef jerky
1	What are the economic pros and cons of polygamy?
0	was wonder woman the first woman superhero
1	What are some of the best kept secrets of gujarat?
1	Why do lesbians or bi-sexuals or bi-curious females believe that women are better in bed than men?
0	How do gas-liquid and gas-solid chromatography differ?
0	what was the importance for the seventh amendment
1	What is the corporate culture like at Century Bank? How is the culture different than other companies?
0	who become the first woman head india's external affairs ministry
1	Which MBA stream is better to pursue a mechanical engineer as fresher?
1	To all anime fans Who should Inuyasha choose Kikyo or Kagome? Is Koga or Inuyasha or Sesshomaru better?
1	"Who do you think was better qualified for the role as ""The Apprentince"", including those who were fired?"
1	What was the best advice you've ever received?
0	What are countries where women have less institutional power than men?
0	what's the most money made on bargain hunt
1	what day should i send out the email
0	who won the first world cup and when
1	What is the difference between free and paid antivirus softwares?
1	What are some of the most interesting portmanteaus you have heard?
1	Who likes halo's campaign better than Halo 2's?
1	What are good gifts for a foreign visitor to bring when they're invited to someone's home in Lithuania for the first time?
0	in which country the first submarine was made
1	What are the cheap and best test automation tools that can be used in a startup?
1	Is a 2 address machine more likely to follow a RISC or CISC design?
1	What is the best book to learn data structures using Java?
0	What are some good ways of reading a logarithmic scale?
0	who holds the record for most rushing yards in a game
1	What are the strengths and weaknesses of the advising system at Claremont Colleges?
1	what is better a flip phone or a sliding phone?
0	is atlantic time the same as eastern time
1	What are the most embarrassing moments you have had in your office?
1	Should I host my academic website under my institution domain or under a domain of my own ?
0	Which figure among circle, rectangle and square will have a max area for the same section modulus ie. moment of inertia about centroids axis/ymax.?
1	Is Suse really that good? Which is better, Ubuntu or Suse?
1	What is preferable, Eurail Pass or Buying Pass on the spot?
1	which is better chicken, Beef, Pork or Fish?
0	what college coach has the highest number of wins in football
1	Which is better Deep frying - beer batter vs. bread crumbs
1	Which is better for a CS: IIT Guwahati or IIT Roorkee?
1	What are the most surreal places to visit?
1	What is the best time to watch porn?
0	which muscle below would generate the largest force (most powerful muscle) if stimulated?
0	What is Ontario's motto and its significance, how does it compare to Arizona's?
1	What s the craziest thing you have done in your life?
1	What are the differences between High Level Programming Languages vs Block Programming Environments
1	Which is more healthier to eat; hardboiled eggs or scrambled?
1	what's the difference between xbox 360 and ps3 and which should i buy?
1	Who is better,Mariah or Regine?
1	What are the best exercises for good bicep shape?
1	Should a Pound Cake be stored in the fridge or the freezer?
0	What is the difference between kinetic and static friction?
0	How is a TF card different from an SD card?
1	What are some best songs to listen to?
1	What is the best way of getting pregnant during ovulation?
1	Is it better to document functions in the header file or the source file?
0	What is the basic difference between cv and resume?
1	Is rain water better than tap water for plants?
1	How to better start learning programming - with imperative or declarative languages?
1	Are two undergraduate degrees better than one master degree?
1	What are the best hacking tools to start me out, include download links too?
1	Which is better Lenovo (IBM) or Dell?
1	What is a better gift for a 25 year old guy: A hunting rifle or an Xbox?
1	What is the best way to celebrate this Diwali?
1	What are the best aspects of working at Coca-Cola Bottling?
1	Which insurance company in India offers the best Protection plan?
0	What's the easiest way to kill yourself without pain?
0	who is the last player to go from highschool to the nba
0	what is the smallest pony breed
0	who was the first serial killer in america
1	is kelly clarkson better than Mariah carey?
1	What is the best gluten free beer?
1	Which is the best Bollywood movie of 2016?
1	Which is the best book to learn programming for beginners and why?
0	does interns get paid more than salary base accountant
0	what were the first roller coasters at canada's wonderland?
1	Which is better in terms of reliability and value for money, a C240 Sedan or C230 Coupe?
0	What are the pros and cons of studying architecture?
1	what came first, the chicken or the egg? why?
1	What are the best classes at Stanford?
1	What are the different between Chinese and western diet culture?
1	Where can I find best rat control service in Sydney?
1	what should i buy my 9 year old cousin a plasma or surround system?
0	what is the tallest mt in the world
1	What are the strongest majors in terms of job prospects and what are the weakest majors at Cal State Northridge?
0	What phrases does Donald Trump repeat the most?
1	What are the best one-liners?
1	Which are best furniture stores in India?
1	What is a good inpatient drug and alcohol rehab center in Franklin County ID?
1	Has Doctor Who gained or lost popularity amongst new viewers during the last doctor, vs the old ones?
1	What is the best real estate school in california?
0	what country has the largest economy in africa
1	Who do you prefer to work with: energetic, excited, briiliant young people or experienced, knowledgable older?
0	Is there a difference in the extent of the discrimination against coloured immigrants in comparison to white immigrants?
1	As someone with dwarfism, which term do you prefer, little person, midget or dwarf?
0	what was different about the election of 1920 concerning the 19th amendment
1	What is the best programming language one must learn to stay updated today?
0	What is the best way to cure a diarrhea case that was lasted over a week?
1	What game should I buy, 'Urbz' or 'The Sims 2' for game boy advance(GBA)?
0	what state has the most airports in the us
1	what is the best tv to buy, lcd or plasma?
1	Which ones better: rap or rock??
0	How does the new Airbus A350XWB compare to the Boeing 787 Dreamliner?
1	when is the best time of year to spray broadleaf killer
1	I have a cmposite score of 791.5 & 99.81 percentile in MAT dec 2016,which are the best colleges I should apply for?
1	What is the best online source for learning about options trading?
1	What's your, personally, most reliable source of information?
1	Which is best for learning how to do a certain thing: writing your own or looking at someone else's?
1	What are Advantages and disadvantages of microcoded vs hardcoded architectures
0	who was the last surviving signer of the declaration of independence
1	What are the best computer science schools for networking research?
0	who was the best player in 2010 world cup
0	what is the biggest airlines in asia pacific
1	What is the best way to make extra money?
1	"What is the best example of ""hard work pays off""?"
0	is waxing moon the same as dark of the moon
1	What are some of the most inspirational facts?
1	What is the best book to study for the GRE?
1	Which is the best institute in Pune for CFA certification?
1	Which is more valuable, freedom or security? Why?
1	What's the best fantasy book?
0	What is the best place to sell your clash of clans account?
0	What are the strengths of immersive coding learning?
1	What is the best phone to buy below $100?
1	What are the best college textbooks in history?
1	Which is a suitable inpatient drug and alcohol rehab center near Upson County GA?
1	what most likely changed when cottage industries began to disappear?
0	who has the most tweets on twitter 2018
1	which summertimes smell cream creates a most pleasant memories
1	What are the best and worst languages to sing in?
0	who has the largest submarine fleet in the world
1	When is the best time to start an herb garden?
0	who has run for president the most times
1	Which is better, Bollywood or Kollywood?
0	where is the most population of russia found
1	I'm in the market for a new laptop... should I go with a Powerbook or a Vaio FJ series?
0	where do we have the smallest bone in our body
0	who is one of the most widely performed living american composers
1	when is the best time of year to grow beans
1	What is your biggest achievement in your job?
0	What are the different types of friction?
1	What are the best pubs or lounges in Hyderabad?
1	who has the worst team in the nba
1	Should I have a chineese girl friend or Italian GF?
0	What are the top reservoirs in the world?
1	What will be better, PS3 or Nintendo Revolution?
1	Is Yahoo! Maps better than Google Maps? Why?
0	which is the largest great lake in north america
0	what is the difference between a lawyer and an attorney in south africa
0	what weather conditions are most likely to produce tornadoes
0	what airport is closest to cary nc
1	What are the strongest arguments for and against the war on drugs?
0	who served the longest term as president of the united states
0	when is best time to buy airline tickets
1	What type of camera should one ameateur photographer invest in a, digital camera vs digital slr?
1	In web development, which language is best in regards to the database?
1	what mlb team has the most perfect games
0	who has the most grand slam victories in tennis
0	what are the most important characteristics of a drug
1	What's the better user experience: Waiting once at startup for a long time or waiting frequently for a short time?
1	Which is better for Mexico to Tierra de Fuego, bus or own car?
1	What is the best age to neuter male dog
1	What are the best graduate schools for studying machine learning?
0	who is ranked 1 in the big 12
1	Which is a better bike for commuting as well as occasional long rides- Street 220, or the Royal Enfield?
1	Which do u think is better & why? Yahoo, msn, or aol?
1	Which smart phone is best in 2016?
1	Is it better to specialize in a single field I like, or expand into other fields to broaden my horizons?
1	What are some of the great coincidences of history?
1	In a professional game, what goes faster - a hockey puck or a lacrosse ball?
1	What to choose Memory sticks, 32 and 64 Bit OS
1	What is the cheapest, painless, easiest way to commit suicide?
1	should i get a nissan 350 z or an infiniti g35?
0	What is the hardest thing to get in our lives?
1	Which one is better for a better career growth, Oracle DBA or SQL DBA?
1	What is better, Google or Yahoo?
0	What is the easiest way to get rid of black elbows?
1	What are the movies one should see?
0	which has the lower rate of reaction
0	who is the oldest in why dont we
0	who has the most wins between ohio state and michigan
0	who has scored many goals in the world cup 2018
0	Is additional secretary in central government equivalant to additional secretary in state government?
1	What are the best books to learn cs/programming?
1	What are some good resources for beginner to start learning JavaScript?
0	what is the difference between a measurement and an observation
1	"What is the difference between a ""I"" or ""II"" after a job title?"
1	What is the hardest barrier to overcome in life?
0	who is the most likely next president
0	What is Secretary Clinton's IQ and how does it compare with that of Trump?
0	What is the difference between trade associations and professional organizations?
1	Why is a grand piano better than an upright piano?
0	who holds the record for most home runs in a single season
1	Which is best Linux distro in 2016 and why?
0	Which are the major highways in California and how are they compared to the major highways in Iowa?
1	what it is a more lucrative career loan officer, or car salesmen what is usually average income for the two?
0	what was the first public school in america
0	What's the difference between cognitive science, nueroscience and psychology?
1	What would the drawbacks/benfits be to making French toast with egg alternatives (Egg Beaters, etc)
1	What is it like flying from Bangkok to Manila and how are these touristic cities compared to Chennai?
0	who was india's first woman judge in supreme court
1	What do you believe is a better of method of learning languages: using books or jumping straight into a project?
1	Is a little watering still better than no watering, when plants are thirsty?
0	who is the first athlete getting arjun award
1	What are the differences between Multi-threading vs. Interrupt Handlers
0	Was Google the first search engine to use inbound links in its algorithm (ie, PageRank)?
0	what are the three largest cities in mississippi
1	What is the difference between travel and tourism?
1	Which one is harder to stop: Drinking or Smoking?
1	Where can I get best quality pest control service in Australia?
1	What are the best condoms?
0	What is a good base design for town hall level 5 in COC?
0	What are some of the interesting Quora short bios of people?
0	what are the different forms of marijuana
0	What are the biggest stories TMZ has broken?
1	What differentiates the exceptional programmers from the really good ones?
0	How are neurotransmitters different from hormones?
1	What have been the greatest achievements of humanity?
1	Who would be better? The shy girl or the loud girl?
1	Which would be a better way to invest your time in hedge fund industry: developing quantitative-driven strategies or fundamental-driven strategies?
1	What should I choose, Thapar for CSE or BIT Mesra for IT and why?
0	What is the nearest metro station to sarita vihar apollo hospital
0	who has the most national goals in soccer
0	What are the main differences between a bachelor's and a graduate degree in dentistry in terms of career prospects?
1	what are the benefits of calcium vitamin
1	Verizon Wireless or Cingular wireless which is the best?
1	Which are the best MBA colleges in Gwalior?
1	who is a better play kobe bryant or A.I.?
0	How do cigars differ from cigarettes?
1	what is the difference between a lie and an exaggeration
0	who became athens leading philosopher during its golden age
1	Which mobile is better under 15k?
1	Which one is better: Samsung Galaxy s7 edge or iPhone 6s?
0	What are the differences between Roku stick and Roku 3?
1	What is the most inspiring story about IAS interviews?
0	What is the difference between web development and web design?
1	On a trip to Belgium, should I stay in Bruges or Ghent?
0	who has the best record of the chasers
1	What is a good book to read on evolution and game theory?
0	what is the most common filipino last name
1	Which is better New Silverlight app. MVVM. RIA Services vs CSLA
1	If you were to choose between a video IPOD or PSP which would you choose? ( personally, PSP)?
1	Which format will win? HD-DVD or Blue-Ray?
1	Which is the best eye glasses lens for single vision spherical among crizal, zeiss and swisscoatt?
1	What are good online jewelry sites/companies?
1	Which is better aedium-quality English conference vs. Higher-quality non-English conference
1	What's better Ghost or Virtualization?
1	What is better: a Honda or a Toyota?
1	what is the most popular beer in australia
1	what are the benefits to moving fbi
1	What is the worst thing that can happen while debugging a programming error?
1	Whatâs the difference between LOVE and INFATUATION?
1	Starting piano - which instrument to choose?
1	Which is better, Disneyland or Disneyworld?
1	What are the best websites for architecture students?
0	What is the difference between neutrinos and photons?
0	who has won the most number of cy young awards in major league baseball
0	who who is the tallest woman in the world
1	What is the difference between 'PhD by Published Work' VS 'h.c. PhD' VS 'Dr hab'?
0	who has played more games ronaldo or messi
1	Which one is better XM radio or Sirus radio?
0	is the riddler and the joker the same character
1	Which sounds more impressive, MD or PhD?
0	what city is the first to celebrate new years
0	who is the youngest coach in the nfl
0	where is the highest level of fluoride stored in the teeth
1	What are the advantages and disadvantages to using a griddle instead of a cast-iron skillet?
1	What is the difference between a thought, feeling, emotion, mood and attitude?
0	I have a B.S. in physics and want to be an FBI analyst. What is the difference between an FBI data scientist and an FBI intelligence analyst?
1	Graphic era university is best for mba or jss noida?
1	What is a suitable inpatient drug and alcohol rehab center in Mills County IA?
1	What are good gifts for a foreign visitor to bring when they're invited to someone's home in Bahrain for the first time?
0	which time period saw the most immigrants come to the united states
0	How can the drive from Edmonton to Auckland be described, and how does the history of these cities compare and contrast to the history of Vancouver?
1	From Brussels to Rotterdam: Intercity or Thalys which is better
0	what are some disadvantages of using oil
0	what is the most northern landform region in canada
1	Which is better treo or blackberry ?
1	what is the best phamacoligical prevention for thromboembolism
1	Which is better option to conceive - IVF or tubal ligation reversal?
1	Which is a better design pattern for a database wrapper: Save as you go or Save when you're done?
1	What are the best tech conferences in Europe for students?
1	Which is the best way to learn networking?
0	what is the hottest temperature ever recorded in michigan
1	Which is overall better, Amazon Echo or Google Home?
1	What do you save for first - home or retirement?
0	who was the first child star signed to motown
0	What are some of the best sales conversations?
0	who has won more world series american or national
0	how do alpha and beta forms of glucose differ
1	What are some good tips for using LinkedIn?
1	Can cows be better pets than dogs and cats?
0	who was the first englishman to grow tobacco
1	what are benefits of firm mattress
0	what's the latest season of big bang theory
0	What are the differences between Spanish which is spoken in Spain (by Spaniard) and Spanish which is spoken in Latin America?
1	WOULD YOU RATHER HAVE A DOG THAT BARKS ALL DAY OR A CAT THAT THINKS YOUR A SCRATCH TOY?
0	what is the difference between staff of asclepius and caduceus
1	which do you chose prices or the quality when chossing a thing?
1	do women prefer hair or bald men?
1	What Is Better: Slow and Methodical or Fast And To The Point?
1	What are the latest topics of research in petroleum engineering?
0	what are the two major plains of europe
0	What are the strengths and weaknesses of Infosys?
0	What is the difference between Form Follows Function and Function Follows Form?
1	Which are best apps for photo edit?
0	what is newest generation of ipod shuffle
1	What are the benefits of having sex?
1	What are the best printers compatible with Dell computers?
1	What are the most useless apps?
0	How can you tell the difference between meth and bath salts?
0	What are some good books for English punctuation?
1	What is the best way to learn computer language?
1	What are the best resources for learning Spanish and how can I become a competent speaker, reader and writer of the Spanish language?
1	Which is the best time to workout, morning or evening?
1	If I want to become a UI/UX designer, what major(s) would you recommend for college and what colleges offer these majors?
1	what came first...the egg or hen..?
1	When is the best time to shave - before or after your shower?
0	what are some great ways to improve your stream
1	From existing diet now days what diet gives the best result to lose weight?
1	What are the main industries available in Chhattisgarh?
1	Is Paying by credit card while overseas in US dollars cheaper or in the local currency?
1	which brand makes the best refrigerators
0	who was the first person to have raised the indian flag on foreign soil and where
0	What is the best way to extract subtitles out of a YouTube video?
1	What is the best way to anchor a steel bookcase to a wall?
0	How do the gut microbiomes of herbivore animals compare with those of carnivore animals?
1	What are the 2 best lines of poetry or Shayari?
1	Who has a better fantasy football product? Yahoo!, ESPN or SportsLine?
0	what are the different kinds of police officers
1	What's the difference between fimo clay and polymer clay?
0	Who was the first king of China?
1	What is the difference between pizza sauce and spaghetti sauce?
0	what vitamins are good for skin and acne
1	"What is the difference between ""mince"" and ""dice""?"
0	what is the largest national park in australia
0	What are the most common words that are spelled differently in British English and American English?
0	What are the different terrestrial animals? How do they live and adapt to their enviroment?
1	Which is the best torrent site for hollywood movies?
1	What is the best way to charge an iPhone?
1	What shoes look better with khaki pants and a shirt?
1	What are the pros and cons of coarse and fine coffee ground?
0	is attack on titan manga the same as the anime
0	What are the best strategies for preparing for the GMAT?
1	Is Flash really superior to Java applets?
1	Which is better a Linux operating system over a Windows operating system?
0	what's the tallest building in washington dc
0	who lasted the longest on alone season 2
1	What are good questions to ask yourself at the end of the year?
1	What is the best way to get started in learning electrical engineering?
1	What is the best retailer (online or brick and mortar) to buy a home computer from?
1	What is the difference between LOVE and HATE?
1	is royal caribbean better than carnival?
1	which is better psp or ps2?
1	Which is better, a career in environmental buildings or typical structural engineer?
1	what is the best time of year to cruise the western caribbean?
0	What is the difference between controller and comptroller
1	Getting to Cappadocia: Nevsehir or Kayseri Airport? Which is better
1	What is the best way to pick lottery numbers?
1	Which one is the best option to give JEE Mains 2017 offline or online ?
0	which nba player has the most playoff points
0	which idea best describes an element of an unlimited government
1	What is the best Android tablet in 2015?
1	What country is a better place to live, the USA or Canada and why?
0	where is the world's largest aquarium located
0	what is the fat what is the fastest car in the whole wide wide world
1	which western export has been most welcomed throughout the modern world
0	who was the first canadian to win an olympic gold medal while competing for canada
1	which club is the best Real madried or FC Barcelona ?
0	who was the last person voted out of australian survivor
1	What's the difference between cooking with red wine and white wine?
0	Dominion (card game): What are some good Mine strategies?
1	which artist do u like better 3 doors down or nofx?
0	what is the tallest tower in the uk
1	What is a better way to go Roth IRA or conventional IRA?
0	who was the last prisoner to leave alcatraz
1	What is the difference between All Wheel drive and 4 Wheel Drive,and what's better for driving in snow?
0	who won more matches barcelona vs real madrid
0	What is the difference between pin diode and pn junction diode
1	Which is better: HP Pavilion 15-AU111TX or AU006TX?
1	Is the body or the soul more attractive?
1	Is a good sex life more important than communication in a relationship?
0	What are the differences between Chinese culture and western culture?
0	how are the american declaration of independence and french declaration of the rights of man similar
1	What are the most interesting facts about Antarctica?
1	what's the most popular chocolate in europe
1	What is the best way to remove glue from a keyhole?
1	which sex is more likely to cheat? MEN or WOMEN?
0	who has held the office of chief ministers for longest term
1	What are your thoughts about imaginary vs real time as Stephen Hawking describes?
1	Which is better Intel Celerdon D 351 3.2Ghz or AMD Athlon 64 3200+
1	What is a good page border creator, I need to make a Mexican flag paged border and I can't find out how?
0	who is the most mentioned prophet in quran
1	should i get a k20a, sr20det, or a b16/18 motor for my integra?
0	who was the first president to call his residence the white house
0	what is the difference between ansi lumens and lumens
1	Should I buy a Dual Opteron or Dual Xeon for use as a MySQL Database Server?
0	What are some of the best ways to learn programming?
0	what is the most money you can get on a minecraft server
0	Who was the youngest person to win olympic gold medal
0	what is the difference between regular oil and spray
1	What are the differences between iTunes on the Mac and on Windows?
1	Which are better looking Gay or straight men?
1	which came first? Chicken or the egg?
1	If it was for you to chose Game Development vs Application Development, which will you chose?
0	What are the differences between biotic and abiotic components?
1	which is better disney world or unirevsal studios?
1	What are the best football shoes in india?
0	where is the heaviest door in the world?
1	What are some good romantic comedy novels?
0	what is difference between north america and south america
0	who has the most goals in us women's soccer
1	What is the Difference between Berlin CityTourCard, Berlin WelcomeCard or 7-Tage-Karte for 8 days' stay?
0	who chairs the cabinet meetings who is the most powerful within the cabinet
1	who is considered to the most significant influence on nearly every contemporary art movement
1	What would be a great name for a gaming YouTube channel?
0	where is the biggest waterfall in the united states
1	What are the best courses for the electrical and electronics engineering?
0	Why do black people in North America have lighter skin than those in Africa?
0	where is the most tobacco grown in the us
1	Ceramic vs Stainless Steel in coffee mugs which is better
1	What's the difference between /etc/bash.bashrc and ~/.bashrc? Which one should I use?
0	where is eureka college located and who is easily its most notable alumni
1	Should you choose your committee members or should your advisor?
1	Which do you prefer, Beatles or Pink Floyd?
0	who is the youngest player to have scored a goal in the fifa world cup
1	who is the strongest hulk or superman?
1	What books should a teenager read?
0	who was the youngest person to be elected president of the indian national congress
0	how to get a flatter stomach fast
1	What is the best certification course to learn digital marketing?
1	What are some good Unity 3d scripting tutorial sites?
0	who has more fans manchester united or city
1	Nintendo DS or PSP... which is better?
0	what is the main agricultural product of the golden triangle
1	Raw meat or prepared food? Which lasts longer? - Short term
1	What are the best coworking spaces in Los Angeles?
0	what airport is the closest to jupiter florida
0	What are some mind-blowing Mobile gadgets that exist that most people don't know about?
0	Should I go for Angularjs or Angular 2 (beta version)?
0	what is the difference between .doc and .docx
1	what are cooler Renaissance Faires or Medieval Times?
1	What are the strongest majors in terms of job prospects and what are the weakest majors at Bates College?
0	who has the most wins on the pga tour
1	What is the scariest student loan number
0	What are the health benefits of bacon grease?
1	What's better, seeing a chiro practor or a massage theropist?
1	What are the best ways to use windows?
0	is hong kong the largest city in the world
0	which intermolecular forces are weakest
1	What is the difference between risotto rice and paella rice?
1	For fruit trees, is it better to plant a single multigrafted tree, or multiple trees in one hole?
0	What is main difference between Rescheduling, Restructuring and Rephasement in Banking terms?
1	What are the benefits of developing in Node.js versus Python?
1	Do you think humans are better adapted to extreme hot or extreme cold?
1	Which is better intel i5 (6th gen) or i7 (5th gen)?
0	who has taken the most wickets in test cricket
1	What is the best weight loss supplements for womens?
1	What are the most interesting facts about Earth?
1	What are the best destinations I should visit in Vietnam?
0	who made the first 1911 semi automatic pistol
0	What are the most popular goods exported from India to Dubai?
1	Who is bigger, Yahoo or Google?
0	what is the most disliked song on youtube
0	What is the difference between a laptop notebook and an ultrabook tablet?
1	Should I buy an around the world ticket from Australia or a nearby country?
1	What are the best YA fairy tale retellings?
1	How do you choose which acoustic piano to buy?
1	Who is the most powerful person of the world?
1	What is the best tank in World of Tanks?
0	what is the highest point in chester county pa
0	what movie holds the record for most money made in an opening weekend
1	What are the best music videos you have ever seen?
1	What is the best way to get rid of face fat?
1	which is better holiday inn or white christmas
0	What is the difference between a feature film and a commercial film?
1	what controller should i use for wii u breath of the wild?
0	What is the difference between a Masters in Computer Science and Information Technology?
1	what is better to have loved and lost or to have never loved at all?
0	What are some differences between Islamic culture and Arabic culture?
0	How does laryngitis compare to bronchitis?
0	what are the three largest cities in japan
1	What are some must read non-fiction books?
0	how old is the oldest living person in the world
1	What is more difficult to make: beer or wine?
1	is las vegas better or los angeles.?
1	Is it better to ship bicycle from Egypt to Leipzig, Germany or to buy/rent one?
1	What is the best inspiring story of a cricketer? And who is the most inspiring cricketer?
1	what is the best way to clean mold off of cinder block in a basement
0	What is the difference between a blue whale and a whale shark?
1	Is it better to repeat a caption or reference an identical caption?
0	What are the different pay scales and grade pay for government jobs in India and what do they mean?
0	who has won the most french open tennis titles
1	What is the best way to make money as a student in Canada?
1	Are yahoo maps or google maps better?
0	What is the difference between data science and data analysis?
0	What are the differences between a state and a commonwealth in the United States?
1	What is the difference between Unix and Linux?
1	Trinet or Algentis? Who is the best outsourced HR provider?
0	Should I tell her what I feel now or later?
1	Do you believe that mind and heart are different things or the same?
